sentence_id,head_id,head_loc,verb,verb_compound,morph_case,lemma,form,sentence,timex_tag,ekilex_tag,ner_tag,classification,explanation,classification2,explanation2,is_time,is_alive,is_abstract,classification3
2149636,3433963,8,ringlema,,in,piletiäri,piletiäris,"Lihtsad arvutused näitavad , et Tallinna põrandaaluses piletiäris ringlevad summad on tohutud .",,,,no,"The word 'piletiäris' refers to ticket business or trade, which is not a location but rather an activity or field of work.",yes,The phrase 'piletiäris' was classified as 'yes' because it describes the location where the transactions or actions occur.,,,,yes
8099731,12997190,8,pöörama,,ill,langus,langusesse,"Pigem on see madal või pöörab sootuks langusesse . """,,,,no,"The phrase 'langusesse' was classified as not a location because it refers to a state of decline, not a physical place.",yes,,,,,yes
12633679,20215816,2,toimuma,,ill,krae,kraesse,Raudteelaste kraesse toimunud õnnetusi Rentiku sõnul siiski veeretada ei saa .,,,,no,"The phrase 'kraesse' was classified as not a location because it is used metaphorically to mean attribution of blame, not a physical place.",yes,,,,,yes
12372585,19808269,6,sööma,,in,fuajee,fuajees,"Etenduse vaheajal sõid lapsed teatri fuajees puuvilju ning mängis ansambel "" Üks lust "" .",,location,,yes,,yes,,,,,yes
6046200,9704021,8,müüma,,ill,lennuk,lennukitesse,"Turismifirmad on müünud kalli raha eest pileteid lennukitesse , mis tõuseksid õhku samaks ajaks kui maa suurim tehiskaaslane maale tagasi jõuab .",,,,no,"The phrase 'lennukitesse' refers to entry into planes, which are not geographical locations, so it was classified as not location ('no').",yes,,,,,yes
10060758,16137721,6,jõudma,tagasi,el,lisaraha,lisarahast,"200 miljonit ettevõtete kätte jäävast lisarahast jõuab riigile tagasi üksikisiku tulumaksuna , käibemaksuna ja aktsiisidena .",,,,no,"The phrase 'lisarahast' was classified as not a location because it refers to additional resources or money, not a physical place.",no,The phrase 'lisarahast' was classified as 'no' because it refers to the source of extra money and not a location.,no,no,no,no
2792027,4477403,1,sadama,maha,in,Tallinn,Tallinnas,Tallinnas laupäeval maha sadanud lumi lõi ilmajaama andmeil kümne aasta rekordi .,,location,LOC,yes,,yes,,,,,yes
2066247,3296559,23,pagema,,adit,peit,peitu,"Valdo Lips lõi tempo alla , Ivo Saksakulm ja Chris Moore kontrollisid lauavõitlust , Indrek Varblane ja Andrus Nagel pagesid kaitse haardest peitu ja tulistasid kaugvisetega .",,,,no,"The word 'peitu' means to hide and describes a state, not a location.",yes,,,,,yes
17113251,26300294,16,laskma,,ill,kaabel,kaablisse,Ekraan ( sukk ) oli enamasti « ülihõre » ja laskis väljaspoolt kõik = mürad kaablisse .,,,,no,"The phrase 'kaablisse' refers to an object or medium, not a location, so it was classified as not location ('no').",yes,,,,,yes
15500381,24205992,12,panema,,adit,hooldeprojekt,hooldeprojekti,""" Vajaduse korral panevad Veerpalu ja loodetavasti õed Šmigunid isiklikku raha hooldeprojekti , sest kehvade suuskadega kaugele ei sõida .",,,,no,"The phrase 'hooldeprojekti' was classified as not a location because it refers to a project or initiative, not a physical place.",no,The phrase 'hooldeprojekti' was classified as 'no' because it indicates a target or purpose rather than a place.,no,no,yes,yes
307142,481759,12,hulkuma,,in,linn,linnas,"Eriti silmatorkavalt peegeldasid meie unikaalsust Tallinnas välismaised turistid , kes hulkusid linnas juba siis , kui meie inimesed alles teist külge keerasid .",,,,yes,,yes,"The phrase 'linnas' refers to 'in the city,' which indicates a specific location and is therefore an adverbial of place.",,,,yes
20302207,29534587,9,võtma,kaasa,adit,lätt,lätti,kissy: jes ferru võtab mind tatu kontsertile lätti kaasa :D,,,,yes,"The phrase 'lätti' refers to a geographical location (Latvia), so it was classified as location ('yes').",yes,,,,,yes
