sentence_id,head_id,head_loc,verb,verb_compound,morph_case,lemma,form,sentence,timex_tag,ekilex_tag,ner_tag,classification,explanation,is_time,is_alive,is_event,classification2
7108634,11432411,7,tasuma,,ad,kord,korral,"“ Ei tea , kas esimesel korral tasub lõpuni minna , ” kahtlesin .",,,,no,"The phrase 'korral' refers to 'occasion' and does not indicate a location, hence it is not adverbial of place.",no,no,no,no
2601827,4175718,12,pakkuma,,ad,juhatus,juhatusel,"Eesti Filharmoonia Kammerkoor ja Tallinna Kammerorkester pakuvad täna õhtul Tõnu Kaljuste juhatusel Tallinna Metodisti kirikus toimuval kontserdil valiku teostest , mida koor ja orkester esitavad reedel algaval kolmenädalasel USA ja Kanada turneel .",,,,no,"The phrase 'juhatusel' refers to 'under the direction' and is describing leadership or guidance, not location, so it is not adverbial of place.",no,no,no,no
14922621,23437007,3,külastama,,ad,nahkkuu,nahkkuul,"Pealegi külastas nahkkuul kahel korral mulkide väravaraamistikku , ohtlikke olukordi jätkus veelgi .",,,,no,,no,no,no,no
10299850,16529878,9,laskma,,ad,KMÜ,KMÜl,Miks te seda kohe ei öelnud ja lasite KMÜl veel koalitsioonileppe projekti ette valmistada ?,,,,no,,no,no,no,no
15337147,23952644,11,tutvustama,,ad,hulk,hulgal,Ulmekirjandus ja -filmid on meile viimastel aastakümnetel tutvustanud arvutul hulgal mõtlemisvõimelisi masinaid .,,,,no,,no,no,no,no
6866965,11044861,4,ilmnema,,ad,majanduskasv,majanduskasvul,Seejuures ilmnes kiiremal majanduskasvul hoopis ebavõrdsust vähendav roll .,,,,no,,no,no,no,no
11663641,18670158,5,vestlema,,ad,eeldus,eeldusel,""" Vestlesin temaga alguses eeldusel , et ta on kuriteo sooritanud , "" räägib Einike .",,,,no,,no,no,no,no
13228328,21164291,13,lisanduma,,ad,kca,kcal,"Kui lubada endale ka 200grammine tops küpsise tiramisut , lisandub veel 536,2 kcal ja 26,4 g rasva .",,,,no,,no,no,no,no
9442787,15162496,12,pälvima,,ad,viljelemine,viljelemisel,"Lavastaja Merle Karusoo pälvis preemia järjepideva loomingulise tegevuse eest dokumentaalse teatri viljelemisel , uurimisel ja arendamisel ja 1997. aasta lavastuste “ Kured läinud , kurjad ilmad ” ( Eesti Draamateater ) , “ Laste riskiretk ” ( VAT Teater ) ja “ Sügis 1944 ” ( Viljandi kultuurikolledzh ) eest .",,,,no,,no,no,no,no
6659617,10715650,24,pöörduma,,ad,hääl,häälel,""" Mul on kavaleride jaoks Accessi andmebaas … "" * Kohvikusse siseneb ilmselgelt rase naine , istub raske ohkega lauda ja pöördub kaeblikul häälel ettekandja poole : "" Neiu , mul on arvatavasti 0,3e vaja … "" "" Kuidas-kuidas ? "" satub ettekandja ärevusse .",,,,no,,no,no,no,no
14801153,23280006,21,toetama,,ad,rahapuudus,rahapuudusel,"Mullu maksti hulkuri eest 25 krooni , tänavu Pärnu kommunaalamet Terveksit , mis muu hulgas ka loomade magamapanemisega tegeleb , rahapuudusel enam ei toeta .",,state,,no,,no,no,no,no
2715728,4356407,13,tuginema,,ad,alandamine,alandamisel,"Üldine hinnalangus peaks Selverites Puusepa sõnul jääma kuue protsendi piiresse , hindade alandamisel tugines Tallinna Kaubamaja kontsern Eesti Konjunktuuriinstituudi koostatavale neljaliikmelise pere toidukorvile , mille kohaselt on seniste ja tulevaste hindade keskmine vahe 6,19 protsenti .",,,,no,,no,no,no,no
6675804,10741057,5,külastama,,ad,rai,Rail,Teisipäeval külastasid Valgat projekti Rail Baltica Euroopa Komisjoni poolne koordinaator Pavel Telička ja Tšehhi investeerimisfirma OKD Doprava esindajad .,,alive,,no,,no,no,no,no
7767524,12452835,13,nõudma,,ad,korraldus,korraldusel,"“ Tekkisid kolme tööpäeva ja tariifide vahed , mille tasumist nõudsime pearaamatupidaja korraldusel lastevanematelt .",,,,no,,no,no,no,no
1782392,2838432,22,austama,,ad,arendamine,arendamisel,Riigikontroll austab oma medaliga postuumselt viimast Teise maailmasõja eelset Eesti riigikontrolöri Karl Johannes Soonpääd tema tegevuse eest Eesti tollase riikliku kontrollisüsteemi arendamisel .,,,,no,,no,no,no,no
916744,1460298,17,arvestama,,ad,omistamine,omistamisel,"Pangandussektorit ja välistasakaalu ehk jooksevkonto puudujääki puudutavad raskused , millega Fitch arvestas 1997.aastal esimese reitingu omistamisel , on praeguseks möödas .",,,,no,"The phrase 'omistamisel' refers to the time or occasion when the rating was assigned, not a location, so it is not an adverbial of place.",no,no,no,no
5003671,8034090,19,lõppema,,ad,initsiatiiv,initsiatiivil,""" Keskmine hüvitise suurus , kui töölepingu lõpetab tööandja , on 7,5 kuupalka , kui tööleping lõppeb töötaja initsiatiivil , on keskmine hüvitise suurus 4,7 kuupalka , "" märkis Orula .",,,,no,,no,no,no,no
13140500,21026293,12,käskima,,ad,partei,parteil,"Ja varem , esmaspäeval , käskis parlamendi juurde loodud sõltumatu parlamendieetikakomisjon parteil raha miljonärile tagasi maksta .",,alive,,no,,no,no,no,no
7032455,11296676,5,lendama,,ad,ide,idel,"British Airwaysi Concorde'idel on veerand sajandi jooksul lennanud 2,5 miljonit inimest .",,,,no,"The phrase 'idel' does not specify a location but is part of a compound noun, so it is not an adverbial of place.",no,no,no,no
378462,587681,19,kukkuma,läbi,ad,rahapuudus,rahapuudusel,"Eesti telekanal TV 1 on sunnitud mõni päev enne aastavahetust muutma vana-aastaõhtu programmi , sest rahvusvaheline hiigelprojekt kukkus rahapuudusel läbi .",,state,,no,,no,no,no,no
5015406,8050331,11,asendama,,ad,heakskiit,heakskiidul,"Ning kuigi Ferguson veerand tundi enne lõpuvilet väravat nõudva publiku heakskiidul Michael Stewarti kogenud Ryan Giggsiga asendas , hoidis Poom seljataguse puhtana .",,,,no,,no,no,no,no
623207,988799,9,alustama,,ad,juhtimine,juhtimisel,21. oktoobril alustavad Hiina kommunistlikud väed Mao Zedongi juhtimisel,,,,no,,no,no,no,no
271988,429473,13,seonduma,,ad,alune,alusel,"Eesti tööturu näitajate andmeil tehtud analüüside põhjal esineb küll seos , mille alusel madalam töötuse määr seondub kõrgema mobiilsuse tõenäosusega tööturu erinevate seisundite vahel .",,,,no,,no,no,no,no
12370393,19805127,11,lülituma,,ad,palve,palvel,Sonia Gandhi ( sündinud Triestis Itaalias ) lülitus poliitikasse Kongressipartei palvel .,,,,no,,no,no,no,no
3547050,5711659,25,tegema,,ad,MM-tasand,MM-tasandil,""" Kui vähegi realistlikult asjadele vaadata , siis enam ettepoole ei anna trügida , "" hindas Kaurit , kelle sõnul teeb ta motokrossiga vähemalt MM-tasandil lõpparve .",,,,no,,no,no,no,no
2246409,3594009,27,kippuma,,ad,allakäigutee,allakäiguteel,"Just aktsiahindade hoogsa langemise ajal astus USA president Bill Clinton üleeile lennukisse ning võttis suuna Moskvasse , kus rahaturu kokkuvarisemine on juba üle elatud , samaväärsel allakäiguteel kipub olema kogu riik .",,,,no,,no,no,no,no
463246,726460,21,vastama,,ad,teade,teatel,"Peavarjuta jäänud inimeste kurtmise peale , et neil pole võimalik end pesta ega tualetis käia , vastas minister ajalehe Hürriyet teatel : "" Peske ennast meres .",,,,no,,no,no,no,no
12854830,20562095,3,meenuma,,ad,tulek,tulekul,EÜS-i jutuks tulekul meenub mulle ikka 1997 . aastal Postimehes toimunu .,,event,,no,,no,no,no,no
5386441,8637045,4,vastama,,ad,sönu,sönul,"Abilinnapea Liisa Pakosta sönul vastas rahataotlus igati tingimusele , et linn annab reservfondist raha spordiüritustele , millel on suur publikumenu .",,,,no,,no,no,no,no
130864,219173,2,astuma,,ad,juht,juhul,Igal juhul oleme ka sellel rindel astunud Euroopasse .,,,,no,"The phrase 'juhul' refers to a condition or circumstance, not a place, so it is not classified as an adverbial of place.",no,no,no,no
3203785,5145765,22,lendama,,ad,kuju,kujul,"Siis ma hakkan seda kiilaspead värvima , selle tarvis on mul olemas Püha Vaim , kes lendab maa peale valge tuvi kujul ja laseb kiilakale tubli läraka otse keset pead .",,,,no,,no,no,no,no
1042160,1657123,29,eraldama,,ad,alune,alusel,"Leemets ei soovinud ennatlikult kommenteerida , kas kõnealuse juhtumi puhul võib korduda sama , mis pimesooleoperatsioonil koomasse langenud Ruslan Kirilloviga , kellele linnavalitsus eraldas kahjutasuks veebruari alguses kohtuotsuse alusel üle poole miljoni krooni .",,,,no,,no,no,no,no
7210785,11598327,19,tagastama,,ad,taotlus,taotlusel,"Tallinna liikluspolitsei määras aastas väidetavalt 17 miljonit krooni teenivale rallimehele 1920-kroonise trahvi ja tagastas paar päeva hiljem advokaadi taotlusel Märtinile juhiloa , sest eestlane pidi välismaale sõitma .",,,,no,,no,no,no,no
16094706,24984669,23,leidma,üles,ad,nõu,nõul,"Kersna on Enelit tundes kindel , et tegelikult ei pöördunud naine siiski ise Kroonikasse , vaid Pedanik ja Wadowsky leidsid ta omal nõul üles ja püüavad nüüd Enelit ühes pojaga oma seebiooperisse mässida .",,,,no,,no,no,no,no
8135790,13058749,12,kuulama,,ad,iga,igal,"Tean ju ülihästi , et kuhu ma ka ei läheks , igal pool kuulaksid noored inimesed minu vestlusi nagu siingi .",,,,no,"The phrase 'igal' does not indicate a specific place but rather a general frequency or condition, so it is not an adverbial of place.",no,no,no,no
5263947,8444185,15,alandama,,ad,tingimus,tingimusel,"Kinnitamata andmetel alandas Leedu Taupomasise minimaalset müügihinda 200 miljonilt litilt ligi 150 miljoni litini tingimusel , et Leedu ei võta endale panga arvatavalt 60 miljoni litini küündivate mittelikviidsete varadega seoses täiendavaid kohustusi .",,,,no,,no,no,no,no
14870144,23372707,3,tahtma,,ad,digita,digital,"Kes tahab digital audiot ilma resmaplimata , selle jaoks on CMI parem kui SB .",,,,no,,no,no,no,no
7709936,12361342,12,tulenema,,ad,tagastamine,tagastamisel,"Nende lahendada jäävad kõik piirivaidlused , mis tulenevad maa kaardi alusel tagastamisel .",,,,no,,no,no,no,no
6705675,10788369,3,hääletama,,ad,ennustus,ennustusel,Andrei Piontkovski ennustusel hääletab Kremli poolt juhitav parlamendifraktsioon ilmselt umbusaldamise vastu .,,,,no,,no,no,no,no
13395379,21425981,17,kaduma,ära,ad,kättevõtmine,kättevõtmisel,""" Tooted näevad suhteliselt samasugused välja kui paberkandjal , kuigi leidub ka üksikuid esemeid , mille kättevõtmisel ostusoov ära kaob , "" möönab ta .",,,,no,,no,no,no,no
16223541,25128974,14,toetama,,ad,nüansiotsing,nüansiotsingutel,Ka valitud instrumendid - sopransaksofon ja flööt - toetavad Coffinit tema loomusele omastel nüansiotsingutel .,,,,no,,no,no,no,no
565548,894541,2,pruukima,,ad,andmed,andmetel,Fjuki andmetel ei pruugi Eesti Raudtee investori leidmiseks üldse avalikku konkurssi kasutada .,,,,no,,no,no,no,no
7023413,11282033,6,väljuma,,ad,üldjuht,üldjuhul,"Lindaliini klienditeenindusest öeldi , et üldjuhul ei välju tiiburid siis , kui tuule kiirus ületab 15 m/s , kuid see ei ole reegel .",,,,no,The phrase 'üldjuhul' is not classified as adverbial of place because it refers to a general situation or condition rather than a physical location.,no,no,no,no
4638160,7453047,1,esinema,,ad,Suurejooneline,Suurejoonelisel,"Suurejoonelisel muusikaauhindade üleandmise sõul esinevad Coldplay , Kaiser Chiefs , KT Tunstall , Kanye West , Kelly Clarkson , James Blunt ja vanameister Paul Weller .",,,,no,,no,no,no,no
3267481,5251946,14,pruukima,,ad,jõud,jõul,""" Nendel katsetel tuleb olla eriti ettevaatlik , mitte riskida , sest oma jõul ja kahe mehaaniku abil auto parandamine ei pruugi õnnestuda .",,,,no,,no,no,no,no
9385819,15072006,24,lisama,,ad,viiesajaline,viiesajalistel,"Aga me oleme meeskonnas ( Marlboro Team Kanemoto Honda ) saavutanud hea tasakaalu , ” ütles 29 esikohale 250 cm3 klassis esimese ka viiesajalistel lisanud Biaggi pärast võistlust Reuterile .",,,,no,,no,no,no,no
1286713,2044049,2,realiseerima,,ad,andmed,andmeil,Hulgimüüjate andmeil realiseerisid nad jaemüügifirmadele läinud kuul 177 582 mobiiltelefoni .,,,,no,,no,no,no,no
12667633,20269084,6,tasuma,,ad,arvamus,arvamusel,"Mitte just kõrge intellektuaalse tasemega arvamusel , et Eesti iseseisvust toetanud muulased taotlesid vaid ENSV sildi vahetamist Eesti Vabariigi oma vastu , ei tasukski pikemalt peatuda , kui see ei kajastaks osa inimeste ( näiteks mõne isamaaliku politikaani või rahvuslikult mureliku humanitaarharitlase ) arvamust .",,,,no,It was classified as not adverbial of place ('no') because 'arvamusel' does not describe a physical location but rather a state or stance.,no,no,no,no
