sentence_id,head_id,head_loc,verb,verb_compound,morph_case,lemma,form,sentence,timex_tag,ekilex_tag,ner_tag,classification,explanation,is_alive,is_time
7108634,11432411,7,tasuma,,ad,kord,korral,"“ Ei tea , kas esimesel korral tasub lõpuni minna , ” kahtlesin .",,,,no,"The phrase 'korral' refers to 'occasion' and does not indicate a location, hence it is not adverbial of place.",no,no
2601827,4175718,12,pakkuma,,ad,juhatus,juhatusel,"Eesti Filharmoonia Kammerkoor ja Tallinna Kammerorkester pakuvad täna õhtul Tõnu Kaljuste juhatusel Tallinna Metodisti kirikus toimuval kontserdil valiku teostest , mida koor ja orkester esitavad reedel algaval kolmenädalasel USA ja Kanada turneel .",,,,no,"The phrase 'juhatusel' refers to 'under the direction' and is describing leadership or guidance, not location, so it is not adverbial of place.",no,no
1677278,2670999,3,seletama,,all,patsient,patsiendile,"Kullamaa seletab patsiendile alati , et iga protees on organismile võõrkeha ja ümber selle tekitab organism poole aasta jooksul sidekoelise kapsli .",,,,no,,yes,no
750912,1196732,14,virutama,,all,reisija,reisijale,"Kaks aastat tagasi oli Eesti Päevalehe ajakirjanik tunnistajaks , kuidas kontrollija piletita sõitnud reisijale jalaga vastu tagumikku virutas ja vihaselt sõimles .",,alive,,no,,yes,no
4733683,7604499,14,lülitama,,ad,poolaeg,poolajal,""" Seda ma paraku ei tea , sest lülitasin teleka sisse alles teisel poolajal . """,,time,,no,,no,yes
14922621,23437007,3,külastama,,ad,nahkkuu,nahkkuul,"Pealegi külastas nahkkuul kahel korral mulkide väravaraamistikku , ohtlikke olukordi jätkus veelgi .",,,,no,,no,no
10299850,16529878,9,laskma,,ad,KMÜ,KMÜl,Miks te seda kohe ei öelnud ja lasite KMÜl veel koalitsioonileppe projekti ette valmistada ?,,,,no,,no,no
7950871,12740282,35,suhtuma,,adit,idealiseerimine,idealiseerimisse,"Ma usun , et lugejad siiski tajusid , vastupidi , ideoloogiavastast subversiooni , õõnestust või vähemalt ambivalentsust , sest tegelikult oli Hansen-Tammsaare antifašist ning suhtus oma teostes kriitiliselt ka talupoegluse ning "" juurte "" idealiseerimisse .",,,,no,,no,no
15337147,23952644,11,tutvustama,,ad,hulk,hulgal,Ulmekirjandus ja -filmid on meile viimastel aastakümnetel tutvustanud arvutul hulgal mõtlemisvõimelisi masinaid .,,,,no,,no,no
95952,162188,10,tulema,kokku,ad,lõpetamine,lõpetamisel,"“ Ühelt poolt on muidugi hea , et keskkooli lõpetamisel ja ülikooli sisseastumisel ei tule kokku ligi kümmet eksamit teha , teisalt võetakse mul riigieksamitega teine võimalus .",,event,,no,,no,yes
13016963,20826469,3,karjuma,,all,kiskuja,kiskujale,"« Karjusin kiskujale : ei , ei , lükka auto püsti !",,,,no,"The phrase 'kiskujale' refers to a person, not a place, so it is not an adverbial of place.",yes,no
10517633,16861298,1,mõjuma,,all,aatom,Aatomitele,"Aatomitele , mis käituvad pisimagnetitena , mõjub raskusjõust suurem jõud ning siirup ei saa üle magnetkausi servade välja voolata .",,,,no,,no,no
2638805,4234155,2,proovima,,all,inimene,inimestele,"Aga inimestele proovid sa jällegi vihjata , et tegu on kurja karvase käe , hämarate motiivide ja salajase omakasuga , "" kirjutab Lao .",,alive,,no,,yes,no
6866965,11044861,4,ilmnema,,ad,majanduskasv,majanduskasvul,Seejuures ilmnes kiiremal majanduskasvul hoopis ebavõrdsust vähendav roll .,,,,no,,no,no
12537089,20066544,7,esitlema,,all,piduline,pidulistele,Sajandi meeldejäävaimaist hetkedest tehtud filmi esitleb pidulistele Steven Spielberg .,,alive,,no,,yes,no
3058141,4907186,26,sõltuma,,el,aines,ainesest,""" Igal institutsioonil on vaja töörahu , kus muuhulgas kõik dokumendid pole avalikkusele ligipääsetavad , "" ütles Kallas , täpsustades , et "" kõik sõltub ainesest "" .",,,,no,,no,no
18514356,28036088,5,kuulama,,ad,menetlemine,menetlemisel,Praegu me oleme eelarve menetlemisel kannatlikult kuulanud opositsiooni kriitikat .,,,,no,,no,no
4120887,6633233,8,teavitama,,ad,eemaldamine,eemaldamisel,Samuti teavitavad Tallinn ja Helsingi vastastikku grafiti eemaldamisel ja pindade kaitsmisel kasutatavatest uutest tehnoloogiatest jms.,,,,no,,no,no
11663641,18670158,5,vestlema,,ad,eeldus,eeldusel,""" Vestlesin temaga alguses eeldusel , et ta on kuriteo sooritanud , "" räägib Einike .",,,,no,,no,no
1601566,2548480,8,helistama,,all,emale-isa,emale-isale,Ta helistas kohe pärast tulemuste selgumist Väike-Maarjasse emale-isale .,,,,no,,yes,no
11993836,19195890,4,tasuma,,ad,eestlanna,eestlannadel,Valdo Randpere : eestlannadel ei tasu pisku eest mängida,,alive,,no,"The phrase 'eestlannadel' refers to people and not a place, so it is not an adverbial of place.",yes,no
2571838,4126778,12,võtma,ära,abl,kohtunik,kohtunikelt,"Pärast seda , kui põhiseaduskomisjonis läksid läbi ettepanekud , mis võtavad kohtunikelt ära loodetud staažitasud ja mõned sotsiaalsed garantiid , on võimuparteide esindajad pidanud maha mitu tulist arutelu .",,alive,,no,,yes,no
14949694,23462330,16,viitama,,all,alammõõt,alammõõdule,"- lisatakse järgmine joonealune märkus , mis viitab hariliku stauriidi ( Trachurus spp . ) alammõõdule 15 cm piirkondades 1-5 , välja arvatud Skagerrak ja Kattegat : “ Assooridega külgnevates vetes , mis kuuluvad Portugali suveräänsete õiguste ja jurisdiktsiooni alla , ei kohaldata hariliku stauriidi ( Trachurus picturatus ) suhtes alammõõtu . ”",,,,no,,no,no
2101376,3353927,11,juhinduma,,el,sisekord,sisekordadest,"Nendes küsimustes langetavad otsuse meie piirkonnad , kes juhinduvad meie sisekordadest ja eetikakoodeksist .",,,,no,,no,no
4033468,6491658,6,kaasama,,ad,hooaeg,hooajal,"Kristina seltskond on eriti sel hooajal nutikalt kaasanud inimesi , kes on toonud endaga mõistmise , et vaid nüüdisteaduse tasemel saab kroonida võitjaeeldustega isiku tõeliseks võitjaks .",,time,,no,,no,yes
16682497,25670387,11,selgitama,,ad,menetlemine,menetlemisel,"Aga mis puudutab Siseministeeriumi , siis nagu ma juba eelarve menetlemisel selgitasin , seisab ees selle ja ka ametite ümberkorraldamine .",,,,no,"The phrase 'menetlemisel' refers to the process of handling or discussing the budget and is not describing a location, so it is not an adverbial of place.",no,no
