head_id,form,lemma,verb,verb_compound,morph_case,sentence_id,sentence,timex_tag,ekilex_tag,ner_tag,classification,explanation,classification2,explanation2
4477403,Tallinnas,Tallinn,sadama,maha,in,2792027,Tallinnas laupäeval maha sadanud lumi lõi ilmajaama andmeil kümne aasta rekordi .,,location,LOC,yes,,yes,"The phrase 'Tallinnas' specifies a location (in Tallinn), so it is adverbial of place."
3433963,piletiäris,piletiäri,ringlema,,in,2149636,"Lihtsad arvutused näitavad , et Tallinna põrandaaluses piletiäris ringlevad summad on tohutud .",,,,no,"The term 'piletiäris' refers to ticket trading and is not a location, so it was classified as 'no'.",yes,
19808269,fuajees,fuajee,sööma,,in,12372585,"Etenduse vaheajal sõid lapsed teatri fuajees puuvilju ning mängis ansambel "" Üks lust "" .",,location,,yes,,yes,
10334047,Õnnetuspaika,õnnetuspaik,kiirustama,,adit,6427967,Õnnetuspaika kiirustanud Soome ja Eesti päästekopterid meest enne pimeduse saabumist ei leidnud .,,location,,yes,,yes,
21705880,Vilniusesse,Vilnius,lubama,,ill,13574774,"SK Polaris ei lubanud Vilniusesse Jaanus Liivakut , nii tugevdavad Kalevit Valmo Kriisa Nybitist ja esmakordselt Kristo Reinumäe Canon-Eesti noortemeeskonnast .",,location,LOC,yes,,yes,
26300294,kaablisse,kaabel,laskma,,ill,17113251,Ekraan ( sukk ) oli enamasti « ülihõre » ja laskis väljaspoolt kõik = mürad kaablisse .,,,,no,"'kaablisse' refers to an object and not a physical or geographical location, so it is classified as 'no'.",yes,
15008647,ekstaasis,ekstaas,tervitama,,in,9344322,"Tahtsin lihtsalt lõpetada ja mõned punktid saada , ” tunnistas sakslane , keda ekstaasis publik autasustamispoodiumil ovatsioonide ja raketipaukudega tervitas .",,,,no,"The word 'ekstaasis' translates to 'in ecstasy' and refers to an emotional state, not a physical location.",no,"The phrase 'ekstaasis' refers to an emotional state and does not indicate a physical location, so it is not adverbial of place."
29534587,lätti,lätt,võtma,kaasa,adit,20302207,kissy: jes ferru võtab mind tatu kontsertile lätti kaasa :D,,,,yes,,yes,
17784543,seisus,seis,ravima,,in,11102573,"Kaks kuud ravis perenaine armetus seisus koera , kaotamata siiski lootust .",,,,no,The phrase 'seisus' refers to 'condition' or 'state' and does not signify a location.,no,"The phrase 'seisus' refers to a condition or state rather than a location, so it is not adverbial of place."
7540448,siseasjadesse,siseasi,kavandama,,ill,4692505,"USA riigipea George W. Bush aga kinnitas , et Makedoonia temaatika arutamine NATO tippkohtumisel ei tähenda veel seda , et allianss kavandaks sekkumist selle Balkani riigi siseasjadesse .",,,,no,The phrase 'siseasjadesse' refers to internal affairs rather than a geographical or physical location.,yes,
