text,id,label,review,text_id,las,uas,la
"“ Muusikast eemal olles tunnen end närvilise ja pisut haiglasena , ” tunnistab EVELIN SAMUEL ( 26 ) .",4009,"[{""start"": 2, ""end"": 11, ""text"": ""Muusikast"", ""labels"": [""syntax_ignore_entity_obl""]}]",free,57,94.4,100.0,94.4
"Evelini ei häiri , et plaati pole välja mängitud tema kui lauljanna nimele .",4011,"[{""start"": 49, ""end"": 74, ""text"": ""tema kui lauljanna nimele"", ""labels"": [""syntax_ignore_entity_obl""]}]",free,78,90.0,100.0,90.0
Mõningatest asjadest olen hakanud hoopis paremini aru saama .,4012,"[{""start"": 0, ""end"": 20, ""text"": ""Mõningatest asjadest"", ""labels"": [""syntax_ignore_entity_obl""]}]",free,91,42.9,42.9,71.4
"“ Ma olen elus palju nutnud , ” tunnistab AS Sangari juhatuse esimees JAAN KALLAS .",4020,"[{""start"": 10, ""end"": 14, ""text"": ""elus"", ""labels"": [""syntax_ignore_entity_obl""]}]",free,134,86.7,100.0,86.7
"Kokkutulek toimus Eesti riigi ning Ukraina rahvussuhete ja migratsiooni komitee rahalisel toetusel , korraldajaiks aga olid ainult kohalikud eestlased .",4033,"[{""start"": 18, ""end"": 98, ""text"": ""Eesti riigi ning Ukraina rahvussuhete ja migratsiooni komitee rahalisel toetusel"", ""labels"": [""syntax_ignore_entity_obl""]}]",free,267,90.0,90.0,100.0
Lisasissetuleku allikana nähakse nii astmelist tulumaksu kui ka Tallinna ja Harjumaa ettevõtluse taasmaksustamist .,4048,"[{""start"": 0, ""end"": 24, ""text"": ""Lisasissetuleku allikana"", ""labels"": [""syntax_ignore_entity_obl""]}]",free,406,91.7,91.7,91.7
"Nad on elanud mitmel pool , on tihti ka nälginud .",4050,"[{""start"": 14, ""end"": 25, ""text"": ""mitmel pool"", ""labels"": [""syntax_ignore_entity_obl""]}]",free,420,88.9,100.0,88.9
"Maja sisemus , päevinäinud , kuid hubane , peidab oma soppides teisigi võimalusi päeva õhtusse saatmiseks - siin on ka käsitöö- ja muusikatuba ning raamatukogu ja lugemissaal .",4058,"[{""start"": 50, ""end"": 62, ""text"": ""oma soppides"", ""labels"": [""syntax_ignore_entity_obl""]}]",free,496,96.2,100.0,96.2
Nimelt on see kõik tänapäeva teadmiste juures põhimõtteliselt ka võimalik .,4060,"[{""start"": 19, ""end"": 45, ""text"": ""tänapäeva teadmiste juures"", ""labels"": [""syntax_ignore_entity_obl""]}]",free,527,87.5,87.5,87.5
Teatud bakteri geeni sisseviimine kartulisse päästab selle koloraado mardika käest .,4061,"[{""start"": 53, ""end"": 82, ""text"": ""selle koloraado mardika käest"", ""labels"": [""syntax_ignore_entity_obl""]}]",free,533,71.4,71.4,71.4
Seega jääks neil veelgi vähem raha oma toidupuuduse leevendamiseks .,4070,"[{""start"": 12, ""end"": 16, ""text"": ""neil"", ""labels"": [""syntax_ignore_entity_obl""]}]",free,601,88.9,88.9,88.9
"Kahekorruseline ilmetu puumaja Mõisakülas , kus Jüri Kukk koolitarkust sai , seisab juba mõnda aega tühjalt .",4071,"[{""start"": 89, ""end"": 99, ""text"": ""mõnda aega"", ""labels"": [""syntax_ignore_entity_obl""]}]",free,611,93.3,93.3,100.0
"Kord tungis Ants isale kallale , ema Meeta ärritus , sai infarkti ja suri .",4073,"[{""start"": 17, ""end"": 22, ""text"": ""isale"", ""labels"": [""syntax_ignore_entity_obl""]}]",free,641,92.9,92.9,92.9
