ahendama,,pres,cond,kasutussfääri,kasutussfäär,11,S,gen,235410,"Ei tohiks mingil juhul teha otsuseid , mis ahendaksid emakeele kasutussfääri mingi suure ja ilusa eesmärgi nimel .",4,0,0,100
ahendama,,pres,cond,võimu,võim,15,S,part,1754108,"Paljud Washingtoni nõudmised , mis mitmete teiste demokraatlike riikide ja inimõiguste organisatsioonide arvates kohtu võimu ahendaksid , ei ole kokkuleppe projektis arvesse võetud .",4,0,0,100
kihutama,taga,pres,indic,helisid,heli,5,S,part,2205774,"Straussi poeemis kihutab afekt helisid taga ja programm muudab "" liikumiskiirust "" .",2,0,0,100
kutsuma,kohale,pres,imper,pressi,pressima,2,S|V,,14798600,"Ja pressi me ka kohale ei kutsu , olen seda oma klientidele lubanud .",11,72.72727272727273,0,27.272727272727273
kutsuma,kohale,pres,imper,kriminaalpolitsei,kriminaalpolitsei,13,S,gen,9283833,"Ärge liigutage autot paigalt , ärge isegi puudutage seda , vaid kutsuge kriminaalpolitsei kohale . ”",11,72.72727272727273,0,27.272727272727273
kutsuma,kohale,pres,imper,inimesed,inimene,8,S,nom,711665,""" Korduvalt palusime , et kutsuge meie inimesed kohale , ega me ei saa vägisi teie koosolekule tulla , "" lausus ta .",11,72.72727272727273,0,27.272727272727273
kutsuma,kohale,pres,imper,eksperti,ekspert,5,S,part,3496833,""" Niisama me kallist eksperti kohale ei kutsu . """,11,72.72727272727273,0,27.272727272727273
leiduma,,past,partic,aset,ase,7,S,part,4419435,India algatas teisipäeval New Delhi lähedal aset leidunud lennukatastroofi põhjuste väljaselgitamiseks ametliku uurimise .,2,0,0,100
maksma,"kinni, kinni",pres,indic,osa,osa,42,S,gen,1086648,"Milline haridusminister Tõnis Lukase pakutud kolmest mudelist on kõige tõhusam ja õiglasem viis kõrgharidust rahastada : 1 ) vähendada riigitellimust , kuid kulutada sellevõrra rohkem raha ühe üliõpilase koolitamiseks ; 2 ) kehtestada osaline õppemaks ; 3 ) riik maksab kinni osa õppekohti täies mahus kinni ( tellimus sõltub ülikooli tulemustest , nt kaitstud kraadidest ) , ülejäänud üliõpilased maksavad õppetasu ?",1,0,0,100
maksma,"kinni, kinni",pres,indic,õppekohti,õppekoht,43,S,part,1086648,"Milline haridusminister Tõnis Lukase pakutud kolmest mudelist on kõige tõhusam ja õiglasem viis kõrgharidust rahastada : 1 ) vähendada riigitellimust , kuid kulutada sellevõrra rohkem raha ühe üliõpilase koolitamiseks ; 2 ) kehtestada osaline õppemaks ; 3 ) riik maksab kinni osa õppekohti täies mahus kinni ( tellimus sõltub ülikooli tulemustest , nt kaitstud kraadidest ) , ülejäänud üliõpilased maksavad õppetasu ?",1,0,0,100
paistetama,tagasi,,indic,käed,käsi,12,S,nom,8802773,"Ta pidi mõtlema mõõgast , sest paari päeva pärast on Villu käed tagasi paistetanud ja talle võib suure haamri pihku anda .",1,100,0,0
sämplima,,past,partic,filmi,film,6,S|V,gen,13343297,"Von Suck on 80-ndate Eesti filmi “ Arabella , mereröövli tütar ” varemgi sämplinud .",1,100,0,0
sämplima,,past,partic,Hit,Hit,16,H,nom,7755588,"Nüüd räägitakse tobedat legendi Ian Duryst , kes koolis , kui Orbital oli sämplinud “ Hit Me With Your Rhythm Sticki ” .",1,100,0,0
teinnuma,,pres,indic,seda,see,13,P,part,18447519,"Kvislingeid ei valita presidendiks , nende üle peetakse kohut , vähemasti on seda kõik vabad rahvad teinnud .",1,0,0,100
vahetama,alla,,indic,rehvid,rehv,17,S|V,nom,11947837,"Esimesena startinud soomlane püüdis veerevatel kruusakividel Mitsubishist maksimumi võtta ja vahetas päeva lõpul alla ülejäänuist kitsamad rehvid , kuid kaotab 14. kohal olles ikkagi liiga palju .",2,50,0,50
vahetama,alla,,indic,talvekumme,talvekumm,13,S,part,1575886,Tartu maantee Isko/Vianori rehvivahetuse müügispetsialisti Peeter Jürgensoni sõnul on autojuhid talvekumme hoolsalt alla vahetanud kaks nädalat .,2,50,0,50
valgustama,välja,pres,cond,teda,tema,4,P,part,7359060,"Kui võimas mikroskoop teda nii hästi välja ei valgustaks , oleks munarakule mõttes ilu juurdelisamine lihtsamgi .",1,0,0,100
