sentence_id,head_id,head_loc,verb,verb_compound,morph_case,lemma,form,sentence,timex_tag,ekilex_tag,ner_tag,classification,explanation,is_time,is_alive,is_event,is_org,exclude,classification2
10517633,16861298,1,mõjuma,,all,aatom,Aatomitele,"Aatomitele , mis käituvad pisimagnetitena , mõjub raskusjõust suurem jõud ning siirup ei saa üle magnetkausi servade välja voolata .",,,,no,,no,no,no,no,no,UNK
14949694,23462330,16,viitama,,all,alammõõt,alammõõdule,"- lisatakse järgmine joonealune märkus , mis viitab hariliku stauriidi ( Trachurus spp . ) alammõõdule 15 cm piirkondades 1-5 , välja arvatud Skagerrak ja Kattegat : “ Assooridega külgnevates vetes , mis kuuluvad Portugali suveräänsete õiguste ja jurisdiktsiooni alla , ei kohaldata hariliku stauriidi ( Trachurus picturatus ) suhtes alammõõtu . ”",,,,no,,no,no,no,no,no,UNK
14442211,22870428,2,vastama,,all,andme,andmele,Igale andmele vastab 32-bitine sõna .,,,,no,,no,no,no,no,no,UNK
15237353,23796898,21,püüdma,,all,seletamine,seletamisele,"Ise ma esitaks ühe mõttekäigu , mis käib ka kuidagi filosoofiliste tuulte alla , aga ei püüa just kõrgemate elusaladuste seletamisele .",,,,no,,no,no,no,no,no,UNK
17035329,26181622,33,määrama,,all,ajukasvaja,ajukasvajale,"Maailma ajakirjandus pööras 236sentimeetrisele ja 180 kilogrammi kaaluvale Yao Defenile esimest korda suuremat tähelepanu tänavu juunis , kui naine läks Shanghai haiglasse , kus arstid määrasid esialgse ravi tema erakordset kasvu põhjustavale ajukasvajale .",,state,,no,"The phrase 'ajukasvajale' refers to the target of the treatment, not a location, so it is not an adverbial of place.",no,no,no,no,no,UNK
4264829,6862260,3,oskama,,all,kvaliteet,kvaliteedile,Sealse ravi kvaliteedile ei osanud Levin hinnangut anda .,,,,no,,no,no,no,no,no,UNK
2686844,4310060,18,pruukima,,all,see,sellele,"Tulevane ostja peab aga arvestama seda , et laev pole siiski nii kindel elukoht kui maja ja sellele ei pruugi saada pandilaenu .",,,,no,,no,no,no,no,no,UNK
6200975,9958141,1,püüdma,,all,sisu,Sisule,"Sisule on autorid püüdnud leida adekvaatset vormi , mis on rahuldanud nii omanikke kui ka külastajaid .",,,,no,,no,no,no,no,no,UNK
1433909,2281379,4,mängima,,all,natuur,natuurile,"Et Evert oma natuurile sootuks vastandlikku tegelast mängib , annab tunnistust tema tugevast näitlejapotentsiaalist . """,,,,no,"The phrase 'natuurile' refers to an abstract quality (nature) rather than a physical location, so it is not classified as an adverbial of place.",no,no,no,no,no,UNK
5038262,8086117,8,vastama,,all,avameelsus,avameelsusele,"Juhul kui naine mulle meeldib , vastan avameelsusele avameelsusega .",,,,no,The phrase 'avameelsusele' is not classified as an adverbial of place because it refers to an abstract concept (openness) rather than a physical location.,no,no,no,no,no,UNK
288593,454299,9,mõjuma,,all,enamus,enamusele,"Hinnates tagantjärele esimese suguühte kogemust , mõjus see enamusele siiski positiivselt : vastajate enamiku hinnangul “ õnnestus kõik suurepäraselt ” või “ tundsime end hästi , kuigi olime ebakindlad ja kohmakad ” .",,,,no,,no,no,no,no,no,UNK
12900625,20636018,14,muutuma,,all,hind,hinnale,"Kunstkarusnahk on viimasel paaril aastal muutunud järjest aktuaalsemaks , eeskätt tänu oma soodsale hinnale .",,,,no,,no,no,no,no,no,UNK
7066332,11355100,8,muutma,,all,stsenaarium,stsenaariumile,"Laev kaldus jälle , kui Osgood vastavalt stsenaariumile kurssi muutis .",,,,no,,no,no,no,no,no,UNK
19518555,29156322,4,tegema,välja,all,yhe,yhele,sa teed aint yhele välja.,,,,no,,no,no,no,no,no,UNK
11351669,18187503,15,mängima,,all,kaastunne,kaastundele,"Ma maksame kõige eest , ka kerjuste eest , kes "" mängivad "" teiste kaastundele .",,,,no,,no,no,no,no,no,UNK
10756959,17230742,6,suutma,,all,levik,levikule,"Kell 16.48 suutsid tuletõrjujad tule levikule koolihoones piiri panna , kuid kustutustööd jätkusid hilisõhtuni .",,,,no,,no,no,no,no,no,UNK
10079945,16169967,13,pühendama,,all,käsitöö,käsitööle,Kord kuus kohtub ligi tosin tegusat puuetega ülenurmelast huvikeskuses ja pühendab end käsitööle .,,,,no,The phrase 'käsitööle' is not classified as an adverbial of place because it does not refer to a location but rather to an activity.,no,no,no,no,no,UNK
5504060,8824861,18,näitama,,all,investeerimisreegel,investeerimisreeglitele,""" Kuid mõned eestlased muretsevad , kas globaliseerumine pole liiga kaugele läinud , rahvuslased näitavad näpuga üliliberaalsetele investeerimisreeglitele , mis on viinud enamusosaluse kõigis Eesti pankades , päevalehtedes , juhtivates telefonifirmades ja ainsas väärtpaberibörsis välisinvestoritele , "" kirjutab Postimees .",,,,no,,no,no,no,no,no,UNK
129614,217127,11,tegema,lahti,all,mis,millele,"Elukäik kinnitab , et tegemist ei ole hilinenud eneseteostusega , millele Eesti taasiseseisvumise tee lahti tegi .",,,,no,,no,no,no,no,no,UNK
9638313,15466807,3,vaatama,tagasi,all,teatrikogemus,teatrikogemusele,"Kui oma teatrikogemusele tagasi vaatan , tundub küll , et uus on Tshehhovi-lavastuste kirevas seltskonnas kõige heledamaid ja helgemaid - et mitte ütelda kõige helgem .",,,,no,,no,no,no,no,no,UNK
