sentence_id,head_id,head_loc,verb,verb_compound,morph_case,lemma,form,sentence,timex_tag,ekilex_tag,ner_tag,classification,explanation,is_time,is_alive,is_event,is_org,exclude,classification2
10299850,16529878,9,laskma,,ad,KMÜ,KMÜl,Miks te seda kohe ei öelnud ja lasite KMÜl veel koalitsioonileppe projekti ette valmistada ?,,,,no,,no,no,no,yes,yes,actor
11993836,19195890,4,tasuma,,ad,eestlanna,eestlannadel,Valdo Randpere : eestlannadel ei tasu pisku eest mängida,,alive,,no,"The phrase 'eestlannadel' refers to people and not a place, so it is not an adverbial of place.",no,yes,no,no,yes,actor
127508,213568,11,lubama,,ad,Kalev,Kalevil,"See lõi teadagi lõunamaalaste mänguplaani põhjalikult sassi , mis lubas Kalevil otsustava vahe skoori sisse raiuda .",,alive,PER,no,,no,yes,no,no,yes,actor
3815071,6145085,12,võtma,välja,ad,osaline,osalistel,"Euroopa Liidu tippkohtumine Amsterdamis võttis kolmapäeva hommikutundidel lõppedes võhma välja kõigil osalistel , Kok aga oli see mees , kes kõiki erimeelsusi ükshaaval 14 ja enama liidriga lahendada püüdis .",,,,no,,no,yes,no,no,yes,actor
6340513,10188297,3,soovitama,,ad,Schulz,Schulzil,Berlusconi soovitas Schulzil vastuseks minna mängima ühes Itaalia filmis natsliku koonduslaagri valvurit .,,,PER,no,,no,yes,no,no,yes,actor
13140500,21026293,12,käskima,,ad,partei,parteil,"Ja varem , esmaspäeval , käskis parlamendi juurde loodud sõltumatu parlamendieetikakomisjon parteil raha miljonärile tagasi maksta .",,alive,,no,,no,no,no,yes,yes,actor
8648447,13875590,8,kurtma,,ad,mina,meil,"See peaks koolihariduse juurde kuuluma , ent meil kurdab staazhikas kriitikki et  paradoksideklassik Becketti paradoksidetihedaid mõttekäike on öisel ajal raske jälgida ja kõik ei pruugi kohale jõuda  , nagu ühest vaadeldava ööteatri järelkajast lugeda oli .",,,,no,,no,yes,no,no,yes,actor
9159616,14725035,4,kippuma,,ad,tantsija,tantsijatel,"“ Ka kipuvad tantsijatel aeg-ajalt jalad sõlme minema , ” märkis Jansu .",,alive,,no,,no,yes,no,no,yes,actor
2770595,4443043,25,jääma,puudu,ad,eestlane,eestlastel,"Kultuuriteoreetik Anzori Barkalaja usub , et praegune seosetu rahvussümbolitega vehkimine näitab vaid seda , et üleilmastumise ja isikliku kasu tagaajamise ajal jääb üha enamatel eestlastel millestki olulisest puudu .",,alive,,no,,no,yes,no,no,yes,actor
15612047,24363779,9,mainima,,ad,mina,mul,"Midagi sellist , mida sa mainisid ei olnud mul küll mõttes ja arvan , et ka Juss ei mõelnud seda nii .",,,,no,,no,yes,no,no,yes,actor
5939167,9534052,10,jääma,puudu,ad,Stanišev,Staniševil,"Kui aga parlament pidi kinnitama valitsuse koosseisu , jäi Staniševil üks hääl puudu .",,,LOC,no,,no,yes,no,no,yes,actor
11171935,17895787,7,tasuma,,ad,eluseltsiline,eluseltsilisel,"Selliseks kriitiliseks ajaks , mil tema eluseltsilisel tasuks eriti valvas olla , peavad seksuoloogid aastaid 35-36.",,alive,,no,,no,yes,no,no,yes,actor
