text,id,label,review,text_id,las,uas,la
Kolm aastat tagasi astus valgesse hõlsti rüütatud Evelin Jeruusalemmas lavale ning laulis telekaamerate vahendusel umbes sajale miljonile inimesele .,2003,"[{""start"": 115, ""end"": 120, ""text"": ""umbes"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,59,88.9,88.9,94.4
"Tähtis on omada piisavalt raha , et oleks mugav olla .",2006,"[{""start"": 16, ""end"": 25, ""text"": ""piisavalt"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,102,100.0,100.0,100.0
Mul on olnud võimalik mingeid situatsioone lihtsamalt lahendada .,2007,"[{""start"": 43, ""end"": 53, ""text"": ""lihtsamalt"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,130,100.0,100.0,100.0
"“ Ma olen elus palju nutnud , ” tunnistab AS Sangari juhatuse esimees JAAN KALLAS .",2008,"[{""start"": 15, ""end"": 20, ""text"": ""palju"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,134,86.7,100.0,86.7
Kuid sel kõige viimasel tunnil oli Kadri saatuse tahtel üksi .,2009,"[{""start"": 9, ""end"": 14, ""text"": ""kõige"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,168,100.0,100.0,100.0
“ Meil käis lihtsalt krõks !,2010,"[{""start"": 12, ""end"": 20, ""text"": ""lihtsalt"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,182,100.0,100.0,100.0
"Ta ütleb ikka , et Joosepil on vennaga vedanud .",2013,"[{""start"": 9, ""end"": 13, ""text"": ""ikka"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,194,100.0,100.0,100.0
"Jaan leiab , et ega see ei tähenda , et nüüd tuleks vastu seina joosta ja kurvastama hakata .",2014,"[{""start"": 40, ""end"": 44, ""text"": ""nüüd"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,216,100.0,100.0,100.0
"“ Une , kohvi , võileibade ja eelkõige kellaga .",2015,"[{""start"": 30, ""end"": 38, ""text"": ""eelkõige"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,227,100.0,100.0,100.0
Mehed itsitavad ning Jaanus räägib lühidalt oma kooliskäimisest .,2016,"[{""start"": 35, ""end"": 43, ""text"": ""lühidalt"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,234,100.0,100.0,100.0
"“ See on investeering emotsioonidesse , mis on end mitmekordselt ära tasunud . ”",2017,"[{""start"": 51, ""end"": 64, ""text"": ""mitmekordselt"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,246,84.6,100.0,84.6
"1930. aastatest peale , kui N Liidus hakati looma totalitaarset riiki , saadeti väga paljud eestlased Krimmist välja , seltsimajad pandi kinni ja nende liikmeid kiusati taga .",2018,"[{""start"": 80, ""end"": 84, ""text"": ""väga"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,277,100.0,100.0,100.0
Just sellise esimese impulsina olidki eestlaste suvepäevad Krimmis mõeldud .,2019,"[{""start"": 0, ""end"": 4, ""text"": ""Just"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,297,88.9,88.9,88.9
"Kui Estonia komisjon oli oma aruande avaldanud , siis selgus , et läkski .",2021,"[{""start"": 49, ""end"": 53, ""text"": ""siis"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,333,100.0,100.0,100.0
"Tembeldagem meresõiduamet tavaliseks kirjakontoriks , kus isegi laevaõnnetus võib ununeda lauasahtlisse .",2022,"[{""start"": 58, ""end"": 63, ""text"": ""isegi"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,341,100.0,100.0,100.0
Kuid Bureau Veritase puhul ei saa seda kuidagi teha .,2023,"[{""start"": 39, ""end"": 46, ""text"": ""kuidagi"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,342,100.0,100.0,100.0
"Samuti on ümberlükkamatu tõsiasi , et nende laevade puhul tähendanuks visiiri lahtirebenemine lõppu .",2024,"[{""start"": 0, ""end"": 6, ""text"": ""Samuti"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,350,92.3,92.3,100.0
