sentence_id,head_id,head_loc,verb,verb_compound,morph_case,lemma,form,sentence,classification,explanation,classification2,explanation2,timex_tag,ekilex_tag,ner_tag,is_alive,is_abstract,is_time,is_event,is_org
9344322,15008647,14,tervitama,,in,ekstaas,ekstaasis,"Tahtsin lihtsalt lõpetada ja mõned punktid saada , ” tunnistas sakslane , keda ekstaasis publik autasustamispoodiumil ovatsioonide ja raketipaukudega tervitas .",no,"The word 'ekstaasis' translates to 'in ecstasy' and refers to an emotional state, not a physical location.",no,"The phrase 'ekstaasis' refers to an emotional state and does not indicate a physical location, so it is not adverbial of place.",,,,no,no,no,no,no
11102573,17784543,6,ravima,,in,seis,seisus,"Kaks kuud ravis perenaine armetus seisus koera , kaotamata siiski lootust .",no,The phrase 'seisus' refers to 'condition' or 'state' and does not signify a location.,no,"The phrase 'seisus' refers to a condition or state rather than a location, so it is not adverbial of place.",,,,no,no,no,no,no
10060758,16137721,6,jõudma,tagasi,el,lisaraha,lisarahast,"200 miljonit ettevõtete kätte jäävast lisarahast jõuab riigile tagasi üksikisiku tulumaksuna , käibemaksuna ja aktsiisidena .",no,"The phrase 'lisarahast' refers to additional funding and does not denote a location, hence classified as 'no'.",no,"The phrase 'lisarahast' refers to additional funding or resources, not specifying a place.",,,,no,no,no,no,no
12633679,20215816,2,toimuma,,ill,krae,kraesse,Raudteelaste kraesse toimunud õnnetusi Rentiku sõnul siiski veeretada ei saa .,no,"The phrase 'kraesse' does not indicate a location; it metaphorically implies blame, so it was classified as 'no'.",no,"The phrase 'kraesse' does not indicate a location but rather has a figurative meaning related to blame, so it is not classified as an adverbial of place.",,,,no,no,no,no,no
2891090,4635435,3,saama,,adit,Risbiter,Risbiteri,[ Saab Risbiteri mõõga kätte .,no,The phrase 'Risbiteri' was classified as 'no' because it appears to refer to a specific object (possibly a sword) rather than a location.,no,The phrase 'Risbiteri' was not classified as an adverbial of place because it refers to a proper noun (likely a name) rather than a location or spatial context.,,,,no,no,no,no,no
2066247,3296559,23,pagema,,adit,peit,peitu,"Valdo Lips lõi tempo alla , Ivo Saksakulm ja Chris Moore kontrollisid lauavõitlust , Indrek Varblane ja Andrus Nagel pagesid kaitse haardest peitu ja tulistasid kaugvisetega .",no,"The phrase 'peitu' was classified as 'no' because it describes a state or action of hiding, not a location.",no,The phrase 'peitu' is not classified as an adverbial of place because it indicates a movement to hide rather than specifying a precise location.,,,,no,no,no,no,no
17186422,26387717,33,saama,,adit,Powercolor,Powercolori,"Esmalt panin monitori VGA auku ja kaasasolnud plaadilt driverid peale , pilt imelikult väike , virvendab kui krt ( vaatamata sellele , et refresh kasvõi 200Hz keerata ) Sai installit drivereid nii Powercolori kui ka ATI saidilt ( powered by ATI ) kuid ei ss-gi , ikka sama .",no,"The phrase 'Powercolori' refers to a brand or company name, not a location.",no,The word 'Powercolori' refers to a specific brand and does not indicate location or place; hence it is not an adverbial of place.,,,PER,no,no,no,no,yes
17485387,26805538,13,hankima,,el,rahmeldamine,rahmeldamisest,"« Erki natuur nõuab pidevat tegutsemist , võimalik , et ta hangib rahmeldamisest energiat . »",no,"The word 'rahmeldamisest' refers to an action or behavior rather than a specific location, so it was classified as 'no'.",no,"The phrase 'rahmeldamisest' is not about a location or spatial reference, so it is not classified as an adverbial of place.",,,,no,no,no,no,no
404048,628673,6,juhatama,,in,seelik,seelikutes,Sajandi viimasel kümnendil juhatavad triibulistes seelikutes lõbusad mehikesed eesti spordipubliku taas Kadriorgu jalgpalli vaatama .,no,"'seelikutes' is not classified as a location because it refers to skirts, a type of clothing, and is not related to a geographical location.",no,The phrase 'seelikutes' is not adverbial of place because it describes the manner of attire rather than indicating a location.,,,,no,no,no,no,no
6242170,10025991,13,suunduma,,el,nägemine,nägemisest,"Näen läbi maskiklaasi umbes meetri sügavusel kivist pinnast , mis suundub minu nägemisest sügavale põhja .",no,"'nägemisest' refers to the act of seeing and not a location, so it was classified as 'no'.",no,"The phrase 'nägemisest' is not adverbial of place because it refers to the scope or perspective of vision, not a specific location.",,,,no,no,no,no,no
10766169,17245553,8,ravima,,in,kord,korras,"Konsultatsioonid ainult , muidugi ravib ta hobi korras omainimesi .",no,The phrase 'korras' refers to a state or condition rather than indicating a location.,no,'korras' was classified as 'no' because it does not indicate a place but rather a state or condition.,,,,no,no,no,no,no
6889362,11073774,34,laskma,maha,in,kord,korras,"Võib-olla suri selle tüübi vanaema kusagil Siberis ja tema isa ei võetud ülikooli , sest ta oli rahvavaenlaste laps , aga tema vanaema vend kükitas kusagil Võrumaa metsas , kuni ta lasi haarangu korras maha tema oma sõber metsavend , kes osutus KGB nuhiks .",no,"The phrase 'korras' refers to 'in order' or 'arranged' and not a location, so it is classified as 'no'.",no,"The phrase 'korras' describes the manner in which the action occurred and does not indicate a specific location, so it is not an adverbial of place.",,,,no,no,no,no,no
10001229,16043118,10,ehitama,,in,neorenessanss-stiil,neorenessanss-stiilis,1864. aastal omandas aiakrundi raamatukaupmees Karow ja ehitas siia neorenessanss-stiilis elumaja .,no,The phrase 'neorenessanss-stiilis' was classified as 'no' because it describes an architectural style and not a location.,no,"The phrase 'neorenessanss-stiilis' describes a style or manner of construction, not a location, so it is not an adverbial of place.",,,,no,no,no,no,no
7429491,11929166,51,jagama,,in,bioloogia,bioloogias,"Tema võitudepagas on raske : teine koht matemaatikas , esikoht füüsikas , esikoht keemias ( vabariiklikul võistlusel seitsmes koht 25 võistleja hulgas ) , geograafias teine koht ( vabariiklikul võistlusel 1. järgu diplom 23 osaleja seast ) , ajaloos esimene ( vabariiklikul võistlusel 21. , osales 24 võistlejat ) , bioloogias jagas kolmandat kuni viiendat kohta , loodusteaduses oli vabariigis 20. , osales 34 võistlejat .",?,?,no,"The phrase 'bioloogias' indicates the subject or discipline and does not describe a location, so it is not an adverbial of place.",,,,no,no,no,no,no
1468187,2336634,13,kulgema,,abl,punkt-punkt,punkt-punktilt,"Mäng püsis Hotronicul ohjes algusest peale , kuigi enamjagu mänguajast kulges heitlus punkt-punktilt .",no,"The phrase 'punkt-punktilt' refers to a gradual or step-by-step manner, not a physical location.",no,"The phrase 'punkt-punktilt' was classified as 'no' because it describes the manner of the competition, not the location where it occurred, and is therefore not an adverbial of place.",,,,no,no,no,no,no
7194599,11572592,12,laiuma,,in,raadius,raadiuses,"Nüüd laiub ümber linna tulevikust jutustava erepunase infoboksi igas suunas kilomeetri raadiuses ehitusplats , kus kohati juba korrused kerkivad , enamasti aga vundamente rajatakse .",no,"The word 'raadiuses' refers to a measurement or distance, not a specific geographic or physical location, so it is not a location.",no,The phrase 'raadiuses' was classified as not adverbial of place ('no') because it specifies a measurement or extent (‘kilomeetri raadiuses’) rather than an actual location or place.,,,,no,no,no,no,no
669883,1065245,19,pääsema,välja,el,roll,rollist,"Paratamatult toimib siin kirikukord ja traditsioon ning see on üks näide sellest , kuidas ma ei pääse sellest rollist välja , mis mul on .",no,The term 'rollist' refers to a role or position and is not denoting a physical location.,no,"The phrase 'rollist' does not indicate a physical or locational place but rather a metaphorical or abstract concept, so it is not an adverbial of place.",,,,no,no,no,no,no
13985336,22263085,6,ootama,,in,Ikaru,Ikarus,Lennujaamast väljudes ootas pärnakid päevinäinud Ikarus .,no,"The phrase 'Ikarus' refers to a type of bus, not a location, so it was classified as 'no'.",no,"The phrase 'Ikarus' refers to a vehicle name and not a location, so it is not classified as an adverbial of place.",,,,no,no,no,no,no
7921781,12690705,22,pistma,,adit,esperaal,esperaali,"Mõne minuti pärast olin kõhuli operatsioonilaual , kust mina tean , kumb lõikas paremasse kannikasse tsälgu ja kumb pistis mu kehha esperaali , kas Haavikmaa või õde Magda .",no,"The phrase 'esperaali' refers to a substance or medication, not a location, thus it is classified as 'no'.",no,"The phrase 'esperaali' refers to an object or substance and not a location, thus it is not an adverbial of place.",,,,no,no,no,no,no
8077596,12961915,22,jooksma,,all,joonisfilm,joonisfilmidele,"Mitmele teisele stuudiole on ühtäkki tulnud mõte , et ka nemad võiksid saada osa neist tohututest summadest , mis seni tänu joonisfilmidele on jooksnud Disney rahakirstudesse .",no,"'joonisfilmidele' indicates a medium or concept rather than a specific location, so it is classified as 'no'.",no,"The phrase 'joonisfilmidele' refers to animated films but does not indicate a place, hence it is not an adverbial of place.",,,,no,no,no,no,no
7826877,12542731,3,eksponeerima,,in,Offay,OFFAYS,"D'OFFAYS EKSPONEERIB MUECK ühes nurgas gigantset , peaga vastu lage toetavat poolpaljast paksu meest justkui euroopalikku varianti Buddhast ; poole meetri pikkune eit magab teise ruumi keskel sama väikeses haiglavoodis ; taburetil istub inglitiibadega keskealine mehike .",no,"The phrase 'OFFAYS' appears to be a proper noun, possibly a name, and not a geographical location.",no,"The phrase 'OFFAYS' refers to a name and does not specify a location, so it is not an adverbial of place.",,,LOC,no,no,no,no,no
731611,1165533,19,pagema,,el,jalg,jalust,"Sajandi viimastest Kihnu päevadest võtsid osa peamiselt Rootsis ja Kanadas elavad väliskihnlased , kes viiekümne aasta eest sõja jalust võõrsile pagesid .",no,"The term 'jalust' refers to a state or condition rather than a specific location, so it is classified as 'no'.",no,"The phrase 'jalust' refers to a cause or reason (escaping from danger), not a location, so it is not classified as an adverbial of place.",,,,no,no,no,no,no
