sentence_id,head_id,head_loc,verb,verb_compound,morph_case,lemma,form,sentence,tags,timex_tag,ekilex_tag,ner_tag
7499783,12039700,10,uurima,,abl,pilt,pildilt,"Kurt kiikab algul tüdruku rindu , siis uurib sinetavalt pildilt sedasama .",,,,
8888772,14283497,8,halastama,,all,poiss,poisile,"Kohtuniku rolli asunud taksojuhid ei halastanud 17-aastasele poisile ja andsid talle laupäeva varahommikul Nõmmel peksa , kuid omakohtu ohvriks langenud nooruk ja taksojuht räägivad tüli puhkemise põhjustest erinevat juttu .",,,,
2773044,4446976,11,võimaldama,,all,südamehaige,südamehaigetele,"Palatis on olemas näiteks uued elektroonilised pumbad , mis võimaldavad südamehaigetele väga täpsete ravimikoguste manustamist , jälgimismonitorid , defibrillaator ja kõik muu kardioloogiliseks raviks vajalik .",,,,
7904584,12656744,3,vaatama,otsa,all,Guido,Guidole,"Luule vaatas Guidole otsa ja ütles : "" Sina oled täpselt sama nägu nagu pisikese poisina , sinu oleks ma igal pool ära tundnud .",|A|AE|AL|AS|AT|AET|ALT|AST|,,,PER
5859765,9403939,8,andma,,all,Ahose,Ahosele,"Soomlase 152 m tähendas mäerekordit ja andis Ahosele 4,3 punktise paremuse austerlase Martin Höllwarthi ees .",,,,
3632468,5849731,26,nähtuma,ette,all,poliitik,poliitikutele,"Eesti Päevalehel on alust väita , et kui kavas polnud mitmekäiguline rahapesu , kus oma osa oli ette nähtud ka raha andmise eest hoolt kandnud poliitikutele , siis sõlmis Kreitzberg lepingu internatside tegevuse kinnimaksmiseks linnarahva taskust .",|A|AE|AL|AS|AT|AET|ALT|AST|,,alive,
8003,13651,11,minema,kallale,all,keegi,kellelegi,"Issand , ma ei kakle kunagi , ma ei lähe kellelegi kallale , ei karju ega tee midagi .",,,,
4019368,6469727,7,kaebama,,all,finantsinspektsioon,finantsinspektsioonile,"Kaks LHV siseinfo-skandaali osalist on kaevanud finantsinspektsioonile , et LHV hoiab põhjendamatult nende raha investeerimiskontodel kinni .",|A|AE|AL|AS|AT|AET|ALT|AST|,,organisation,
503278,791727,11,kaebama,,all,komitee,komiteele,Euroopas paiknevate USA mere- ja maavägede juhid kaebasid Kongressi sõjalisele komiteele peamiselt väheneva isikkoosseisu üle .,|A|AE|AL|AS|AT|AET|ALT|AST|,,organisation,
8189896,13145356,5,soovitama,,all,bänd,bändidele,Eriti soovitan seda Eesti bändidele .,|A|AE|AL|AS|AT|AET|ALT|AST|,,alive,
12731773,20368809,5,põhjustama,,all,hüvitusfond,Hüvitusfondile,Arle Möldri tegevus põhjustas Hüvitusfondile suurt kahju .,,,,
813139,1297412,3,võimaldama,,all,muudatus,muudatustele,"Vastavalt jõustunud muudatustele võimaldab pankrotiseadus määrata toimkonnale tasu , mille ülemmäär ei tohi olla kõrgem pankrotihalduri töötasust , selgitas Arm üldkoosoleku ainsat päevakorra punkti .",,,,
6232083,10009237,8,sõitma,otsa,all,minibuss,minibussile,Tokyo lähedal Yokohamas sõitis rong raudteeülesõidukohal otsa minibussile .,,,,
11581300,18544923,4,esitama,,all,TÜ,TÜ-le,""" Huvilised esitasid TÜ-le oma avaldused ja siis saadeti neile ülikooli nimel kiri , et nende avaldus on rahuldatud .",|A|AE|AL|AS|AT|AET|ALT|AST|,,organisation,ORG
11888588,19024130,6,mõjuma,,all,Nõrganärviline,Nõrganärvilistele,Psühhiaater Jaanus Mumma : « Nõrganärvilistele mõjub iga sisendus . »,,,,
1516036,2412377,3,ulatama,,all,lahkuja,lahkujatele,"Turvamehed ulatavad lahkujatele autodesse kilekotte , mis sisaldavad suure tõenäosusega valikut Onistari parematest toodetest .",,,,
12839941,20537814,4,paluma,,abl,kiirabi,kiirabilt,Esimest korda palusime kiirabilt konsultatsiooni .,,,,
2062874,3291065,8,korraldama,,all,Sirendi,Sirendile,"Artikli "" Minister Reiljan korraldas fondi raha Sirendile "" ( EPL , 2.10. ) kirjutanud Jaanus Piirsalu eksib , ja arvatavasti tahtlikult , märkides , et Sirendi sai raha .",|A|AE|AL|AS|AT|AET|ALT|AST|,,,PER
7348015,11791264,3,vaatama,järele,all,varblane,Varblasele,"Donna vaatas Varblasele järele , kui see aiaväravat avas .",|A|AE|AL|AS|AT|AET|ALT|AST|,,alive,
8807606,14140100,6,sosistama,,all,klassivend,klassivennale,"Andrease kõrval istuv Luik sosistas klassivennale midagi kõrva , too noogutas pead ja kõmistas :",|A|AE|AL|AS|AT|AET|ALT|AST|,,alive,
4619387,7424302,7,paluma,,abl,Phjongjang,Phjongjangilt,Venemaa kodanikest ei ole keegi kunagi Phjongjangilt asüüli palunud .,|L|AL|EL|LS|LT|ALT|ELT|LST|,,location,LOC
14139136,22474847,16,põhjustama,,all,lihtrahvas,lihtrahvale,Kardetud ummikute asemel oli linn autodest tunduvalt tühjem kui muidu ning kõrge külaline ei põhjustanudki lihtrahvale liiga suuri ebamugavusi .,|A|AE|AL|AS|AT|AET|ALT|AST|,,alive,
5560108,8914984,10,näima,,all,itaallane,itaallastele,"Umbes samasugune , kauge ja eksootiline riigikene näib paljudele itaallastele ka alles hiljuti NSV Liidu - Itaalia mõistes Venemaa - rüpest vabanenud Eesti .",|A|AE|AL|AS|AT|AET|ALT|AST|,,alive,
3559659,5732080,3,sätestama,,all,üliõpilane,üliõpilastele,Stipendiumileping sätestab üliõpilastele rahalise toetuse määramise korra üldpõhimõtted .,|A|AE|AL|AS|AT|AET|ALT|AST|,,alive,
14287231,22681441,9,minema,kallale,all,päris-Lank,päris-Langile,"Peame pöialt , et võimujoovastuses politsei suures agaruses päris-Langile kallale ei lähe ja teda riigikogust välja ei kupata .",,,,
2151317,3436750,8,võimaldama,,all,Venemaa,Venemaale,Schengeni lepingu sätted Euroopa Liidu välispiiri kohta Venemaale eriõigusi ei võimalda .,|L|AL|EL|LS|LT|ALT|ELT|LST|,,location,LOC
7900927,12649891,3,tegema,,all,Helve,Helvele,"Ta tegi Helvele tühjade asjade pärast stseene ning tundis hiljem öeldu pärast häbi , vabandama aga ei vaevunud kordagi .",|A|AE|AL|AS|AT|AET|ALT|AST|,,,PER
1111092,1765975,1,valmistama,,all,homo,Homodele,"Homodele valmistavad muret ka piirid ehk siis asjaolu , et kui lesbilised hollandlased , kes kodumaal on sõlminud ametlikult kooselu , kolivad Belgiasse , kaotab nende kooselu seaduslikkuse .",|A|AE|AL|AS|AT|AET|ALT|AST|,,alive,
17995486,27383463,9,nähtuma,ette,all,talunik,talunikule,"See autasu on ette nähtud kongressi korraldava maa talunikule , autasu saaja esitab riigi talunike organisatsioon .",|A|AE|AL|AS|AT|AET|ALT|AST|,,alive,
1490822,2373137,6,uurima,,abl,laienemisvolinik,laienemisvolinikult,"Samuti uurisid parlamentaarse komitee liikmed laienemisvolinikult , kas praegused kandidaadid võiksid saada ajapikendust järgmisteks Euoorpa parlamendi valimisteks , mis on aastal 2004.",|A|AE|AL|AS|AT|AET|ALT|AST|,,alive,
1829371,2912124,4,demonstreerima,,all,sina,teile,""" Me demonstreerime teile oma kunsti , aga palume 10 sekundiks kustutada tuli ! """,,,,
2394743,3837940,22,tagastama,,all,mõlema,mõlemale,Samuti jättis Poska 2000. aasta mais ja juulis kahel korral oma ametiseisundit kuritarvitades registreerimata Janise ja Kaivari haldusõigusrikkumiste materjalid ning tagastas mõlemale juhiload .,,,,
7410831,11897391,3,kinkima,,all,Piret,Piretile,"Ta kingib Piretile isegi oma raamatu : "" Töökaitse ( teooria ja praktika ) .",|A|AE|AL|AS|AT|AET|ALT|AST|,,,PER
11759456,18818838,14,tegema,,all,Barcelona,Barcelonale,"Roomlaste treener Fabio Capello suhtus toimunusse umbes samamoodi : Piinlik lugu , tegime Barcelonale kingituse .",|L|AL|EL|LS|LT|ALT|ELT|LST|,,location,
1240032,1971231,6,ütlema,ära,all,noorsooamet,noorsooametile,"Teede- ja sideministeerium ei ole noorsooametile veel ära öelnud , kuid Tallinna Sadam on noortelaeva vastu .",,,,
7880281,12623319,6,koostama,,all,keskkool,keskkoolile,Uue NSV Liidu ajaloo õpiku keskkoolile ( venekeelses variandis 9.-10. klassile ) koostasid P. P. Jepifanov ja I. A. Feodossov .,,,,
3477939,5600648,6,nähtuma,ette,all,gümnaasium,gümnaasiumile,"2004. aasta kapitalieelarves on Kivilinna gümnaasiumile "" 21. sajandi kooli "" programmist ette nähtud 10,8 miljonit krooni , mis läheb Kaunase pst 70 hoone renoveerimiseks .",|A|AE|AL|AS|AT|AET|ALT|AST|,,organisation,ORG
12061172,19306791,24,kandma,ette,all,kohalviibija,kohalviibijaile,"Pruudil oli valge vihmavari , peigmees oli hea sõnaseadja ning üles kirjutanud kogu nende kohtumise ja armastuse loo , mille nad kahekesi kõigile kohalviibijaile ette kandsid .",|A|AE|AL|AS|AT|AET|ALT|AST|,,alive,
16059071,24946725,23,garanteerima,,all,sekkumisasutus,sekkumisasutusele,"Allakirjutanud krediidiasutus ( panga nimi , aadress , faksi- ja telefoninumber ) , ... ( ametikoht ) isikus , garanteerib käesolevaga solidaarselt sekkumisasutusele ( aadress ) järgmise summa maksmise :",,,,
12771110,20428890,3,kirjutama,,all,Rüütel,Rüütlile,Veidemann kirjutas Rüütlile ehtsa veidemanlikult rüütelliku kõne - ei unustatud vanema põlvkonna eneseohverdust jms.,|A|AE|AL|AS|AT|AET|ALT|AST|,,,PER
560900,886847,5,laenama,,abl,mänedzher,mänedzherilt,Juhendaja laenas Shmigunide tiimi mänedzherilt Kristjan Vähilt auto ja kihutas Bischofshofenisse .,,,,
3569072,5747150,7,maksma,,all,EP,EP-le,Nad tegid meiega lepingu ja maksid EP-le rublade eest .,|A|AE|AL|AS|AT|AET|ALT|AST|,,,ORG
11965358,19148795,24,müüma,maha,all,kaubakett,kaubakettidele,"Lesta ja latikat liigub õnneks korralikult , peipsi latikat ostame näiteks 1000–1200 kilo korraga , koostöös ASiga Latikas suitsutame ja müüme kaubakettidele maha , » ütleb Vetevool .",,,,
7059716,11344810,23,näima,,all,luik,Luigele,"Remi rabeles elu- ja magamistoa vahet nagu puuri sattunud must tuvi , pildudes vooditel lebavatesse kohvritesse kõike , mis ette sattus - Luigele isegi näis , et seda teed läksid peale loendamatute kleitide ka hotelli märgistusega käterätid .",|A|AE|AL|AS|AT|AET|ALT|AST|,,,PER
2322862,3719585,17,andma,,all,Brasiilia,Brasiiliale,Neli aastat hiljem säras taas Pele täht ja kolmandat korda võidetud MM-tiitel andis Kuldse Jumalanna jäädavalt Brasiiliale .,|L|AL|EL|LS|LT|ALT|ELT|LST|,,location,LOC
