text,id,label,review,text_id,las,uas,la
"Ta tõdeb , et selle aja jooksul on tema publik kõvasti muutunud :",4001,"[{""start"": 14, ""end"": 31, ""text"": ""selle aja jooksul"", ""labels"": [""syntax_ignore_entity_obl""]}]",unnatural,3,100.0,100.0,100.0
Lisaks muusikategemisele produtseerib ta oma plaadifirma Slim Shady hip-hop-artistide muusikat .,4005,"[{""start"": 0, ""end"": 24, ""text"": ""Lisaks muusikategemisele"", ""labels"": [""syntax_ignore_entity_obl""]}]",unnatural,18,100.0,100.0,100.0
Ootamatu tõrge tekkis ka plaadiümbrisega .,4015,"[{""start"": 22, ""end"": 40, ""text"": ""ka plaadiümbrisega"", ""labels"": [""syntax_ignore_entity_obl""]}]",unnatural,119,100.0,100.0,100.0
Mul on olnud võimalik mingeid situatsioone lihtsamalt lahendada .,4018,"[{""start"": 0, ""end"": 3, ""text"": ""Mul"", ""labels"": [""syntax_ignore_entity_obl""]}]",unnatural,130,100.0,100.0,100.0
Teisest küljest aga kahandab avaliku elu tegelaseks olemine privaatsust .,4019,"[{""start"": 0, ""end"": 15, ""text"": ""Teisest küljest"", ""labels"": [""syntax_ignore_entity_obl""]}]",unnatural,131,100.0,100.0,100.0
"” Hoolimata arstide selgest sõnumist , et Joosep rääkimist selgeks ei õpi , on Jaan optimistlik .",4029,"[{""start"": 2, ""end"": 75, ""text"": ""Hoolimata arstide selgest sõnumist , et Joosep rääkimist selgeks ei õpi ,"", ""labels"": [""syntax_ignore_entity_obl""]}]",unnatural,204,100.0,100.0,100.0
Estonia puhul peeti sellist omadust justkui loomulikuks .,4038,"[{""start"": 0, ""end"": 13, ""text"": ""Estonia puhul"", ""labels"": [""syntax_ignore_entity_obl""]}]",unnatural,310,83.3,100.0,83.3
Kuid Bureau Veritase puhul ei saa seda kuidagi teha .,4041,"[{""start"": 5, ""end"": 26, ""text"": ""Bureau Veritase puhul"", ""labels"": [""syntax_ignore_entity_obl""]}]",unnatural,342,100.0,100.0,100.0
1990. aasta suvel vaatas Bureau Veritas Estline'i omanduseks saanud laeva uuesti üle ja kirjutas klassitunnistusse taas  Deep Sea  .,4043,"[{""start"": 0, ""end"": 17, ""text"": ""1990. aasta suvel"", ""labels"": [""syntax_ignore_entity_obl""]}]",unnatural,345,93.8,100.0,93.8
"Samuti on ümberlükkamatu tõsiasi , et nende laevade puhul tähendanuks visiiri lahtirebenemine lõppu .",4044,"[{""start"": 38, ""end"": 57, ""text"": ""nende laevade puhul"", ""labels"": [""syntax_ignore_entity_obl""]}]",unnatural,350,90.9,90.9,90.9
