sentence_id,head_id,head_loc,verb,verb_compound,morph_case,lemma,form,sentence,classification,explanation,classification2,explanation2,timex_tag,ekilex_tag,ner_tag
2792027,4477403,1,sadama,maha,in,Tallinn,Tallinnas,Tallinnas laupäeval maha sadanud lumi lõi ilmajaama andmeil kümne aasta rekordi .,yes,,yes,"The phrase 'Tallinnas' specifies a location (in Tallinn), so it is adverbial of place.",,location,LOC
2149636,3433963,8,ringlema,,in,piletiäri,piletiäris,"Lihtsad arvutused näitavad , et Tallinna põrandaaluses piletiäris ringlevad summad on tohutud .",no,"The term 'piletiäris' refers to ticket trading and is not a location, so it was classified as 'no'.",yes,,,,
12372585,19808269,6,sööma,,in,fuajee,fuajees,"Etenduse vaheajal sõid lapsed teatri fuajees puuvilju ning mängis ansambel "" Üks lust "" .",yes,,yes,,,location,
6427967,10334047,1,kiirustama,,adit,õnnetuspaik,Õnnetuspaika,Õnnetuspaika kiirustanud Soome ja Eesti päästekopterid meest enne pimeduse saabumist ei leidnud .,yes,,yes,,,location,
13574774,21705880,5,lubama,,ill,Vilnius,Vilniusesse,"SK Polaris ei lubanud Vilniusesse Jaanus Liivakut , nii tugevdavad Kalevit Valmo Kriisa Nybitist ja esmakordselt Kristo Reinumäe Canon-Eesti noortemeeskonnast .",yes,,yes,,,location,LOC
17113251,26300294,16,laskma,,ill,kaabel,kaablisse,Ekraan ( sukk ) oli enamasti « ülihõre » ja laskis väljaspoolt kõik = mürad kaablisse .,no,"'kaablisse' refers to an object and not a physical or geographical location, so it is classified as 'no'.",yes,,,,
9344322,15008647,14,tervitama,,in,ekstaas,ekstaasis,"Tahtsin lihtsalt lõpetada ja mõned punktid saada , ” tunnistas sakslane , keda ekstaasis publik autasustamispoodiumil ovatsioonide ja raketipaukudega tervitas .",no,"The word 'ekstaasis' translates to 'in ecstasy' and refers to an emotional state, not a physical location.",no,"The phrase 'ekstaasis' refers to an emotional state and does not indicate a physical location, so it is not adverbial of place.",,,
20302207,29534587,9,võtma,kaasa,adit,lätt,lätti,kissy: jes ferru võtab mind tatu kontsertile lätti kaasa :D,yes,,yes,,,,
11102573,17784543,6,ravima,,in,seis,seisus,"Kaks kuud ravis perenaine armetus seisus koera , kaotamata siiski lootust .",no,The phrase 'seisus' refers to 'condition' or 'state' and does not signify a location.,no,"The phrase 'seisus' refers to a condition or state rather than a location, so it is not adverbial of place.",,,
4692505,7540448,26,kavandama,,ill,siseasi,siseasjadesse,"USA riigipea George W. Bush aga kinnitas , et Makedoonia temaatika arutamine NATO tippkohtumisel ei tähenda veel seda , et allianss kavandaks sekkumist selle Balkani riigi siseasjadesse .",no,The phrase 'siseasjadesse' refers to internal affairs rather than a geographical or physical location.,yes,,,,
11673400,18685172,1,liikuma,,in,House,House'is,"House'is raha ei liigu , me teeme seda armastusest .",yes,"The term 'House'is' was classified as 'yes' because it refers to a specific named place, 'House'.",yes,The phrase 'House'is' is adverbial of place because it specifies the location where the action occurs (in the House).,,,LOC
6694675,10770662,20,tervitama,,in,Felix,Felixis,"Nagu vanasti , defitsiidi aegadel , kaunistati lette tühjuse varjamiseks selle tühisega , mis saada oli , nii tervitab Felixis ja Fabianis kohe uksest peale terve riiuliühik kunstipäraselt asetatud vestmikke .",yes,,yes,,,,PER
13504646,21599376,8,valvama,,in,nägu,näos,": Laigulised mundrid seljas , valvas pilk näos .",no,"The phrase 'näos' refers to a facial expression, not a specific location.",yes,,,,
307142,481759,12,hulkuma,,in,linn,linnas,"Eriti silmatorkavalt peegeldasid meie unikaalsust Tallinnas välismaised turistid , kes hulkusid linnas juba siis , kui meie inimesed alles teist külge keerasid .",yes,,yes,,,,
16252383,25172405,39,minema,ära,el,koosseis,koosseisust,"Kolm näidet , mis ma oskan öelda nende kohta , kes on ise lahkunud ( peale selle on lahkujaid ka seoses struktuuri ümberkorraldamisega , ministeeriumist on ära viidud näiteks haldusbüroo ja tehtud muid niisuguseid asju , mistõttu ministeeriumi koosseisust ära läinud isikuid on rohkem ) : näiteks Tallinna linn on saanud Haridusministeeriumist personalijuhi , kes oli töötanud ministeeriumis 13 aastat ja tahtis vaheldust ; üks daam läheb meil järgmisel nädalal Islandile mehele ; üks daam on läinud arvutiõpetajaks Rocca al Mare kooli .",no,The phrase 'koosseisust' pertains to organizational structure and not a geographic location.,no,"The phrase 'koosseisust' is not adverbial of place because it refers to membership or composition, rather than specifying a location.",,,
780916,1245424,11,ajama,,in,Tšetšeenia,Tšetšeenias,"Sõjaväevande ja ohvitseriau jalge alla tallanud Vene armee polkovnik ajas Tšetšeenias "" oma isiklikke asju "" , ärkas Venemaa armeejuhtkond eile .",yes,,yes,,,location,LOC
6046200,9704021,8,müüma,,ill,lennuk,lennukitesse,"Turismifirmad on müünud kalli raha eest pileteid lennukitesse , mis tõuseksid õhku samaks ajaks kui maa suurim tehiskaaslane maale tagasi jõuab .",yes,,yes,,,,
13184578,21093246,8,möllama,,in,Bosnia,Bosnias,Alles paar aastat tagasi möllas Euroopa lõunaosas Bosnias sõda ning vaenust laastatud riigis ennustati mitme talve eel tuhandete inimeste suremist nälja ja külma kätte .,yes,,yes,,,location,LOC
10442646,16746695,8,lamama,,in,kaldvoodi,kaldvoodis,"Oma tulevaste laste tervise nimel lamas naine kaldvoodis , kus pea jäi allapoole ning jalad ja alakeha üles .",yes,,yes,,,,
4551295,7315870,12,kogunema,,in,Kosovo,Kosovos,""" Täpselt nagu juhtus meiga pärast 1996. aastat Tshetsheenias , koguneb Kosovos ekstremistlik potentsiaal , mis siis plahvatab ka Kosovo piiride taha . """,yes,,yes,,,location,LOC
1713888,2728007,6,astuma,läbi,el,sadam,Sadamast,"Või astume aasta algul Tallinna Sadamast läbi , et küsida kõiki rendilepinguid .",yes,,yes,The phrase 'Sadamast' was classified as 'yes' because it indicates a location ('Tallinna Sadamast') and answers the question 'where'.,,location,ORG
7815787,12526485,6,jääma,maha,ill,politseiamet,politseiametisse,Mööbli Toompeale viimisel jäid need politseiametisse maha .,yes,,yes,,,location,
