sentence_id,head_id,head_loc,verb,verb_compound,vad_ending,morph_case,lemma,form,sentence
404048,628673,6,juhatama,,"vad, H",in,seelik,seelikutes,Sajandi viimasel kümnendil juhatavad triibulistes seelikutes lõbusad mehikesed eesti spordipubliku taas Kadriorgu jalgpalli vaatama .
10269466,16479712,14,pidama,,"vad, S",adit,arsenal,Arsenali,B-grupis peavad asjatundjad soosikuteks Itaalia meistrit Rooma Laziot ja UEFA karikasarja finalisti Londoni Arsenali .
568974,900261,4,pidama,,"vad, H",adit,USA-visiit,USA-visiiti,Poliitikud peavad kaitseministri USA-visiiti Eestit häbistavaks
15208598,23747758,3,paistma,,"vad, S",abl,defau,default,"actionbarid paistavad default WoWi omad olema , lisatud on Bottom Left ja Bottom Right Barid ( Interface -> Actionbars )"
10828071,17342607,9,tervitama,,"vad, S",in,laad,laadis,Oma uusi saastavendi tervitavad vanemad olijad väga iseloomulikus laadis :
2010983,3208650,4,valvama,,"vad, H",in,vormiriie,vormiriietes,"Randa valvavad sini-kollastes vormiriietes vetelpäästjad , töötab ruupor kadunud või leitud lastest teatamiseks , üles riputatakse teadetetahvlid ranna skeemi , eeskirjade ning keskkonnahoidmise võimalustega ."
8094438,12989056,4,koolitama,,"vad, H",in,magistriõpe,magistriõppes,Tõlke koolitavad Eestis magistriõppes Tallinna Pedagoogikaülikool ( TPÜ ) ja Tartu Ülikool .
8874636,14259612,16,unustama,,"vad, H",ill,ise,endasse,Iga esmaspäeva õhtul unustavad ülikooli rahvakunstiansambli vilistlasrühma tantsijad oma argimured ja laevad lõõtspillimuusika saatel higistades endasse lusti terveks pikaks töönädalaks .
6373378,10242586,11,tervitama,,"vad, S",in,rahvarõivas,rahvarõivastes,"Lisaks on saanud tavaks , et kolkasadamatesse saabuvaid kruiisilaevu tervitavad rahvarõivastes kohalikud , kes esitavad laule ja tantse ."
177112,294457,20,tunglema,,"vad, S",in,lehv,lehvides,"30. aprillil unustavad rootslased oma riigi majanduse mitte just hiilgavast seisundist tulenevad igapäevamured ning tunglevad tuhandete kaupa sini-kollaste lippude lehvides Stockholmi Kuningalossi juurde , et neljakordse hurraa-hüüdega tervitada 50. juubelit tähistavat riigipead , kuningas Carl XVI Gustaf'it ."
5124710,8222370,6,suunduma,,"vad, H",el,albaanlane,albaanlastest,"Mitreva sõnul suunduvad Makedoonia valitsusväed albaanlastest sisside kontrolli all olevatele aladele , et taastada kogu riigis rahu ."
13469919,21543575,4,algama,,"vad, H",ill,raha,rahasse,Hinnad algavad Eesti rahasse arvutatult 195 kroonist ( T-särk ) ja ulatuvad 65 000 kroonini ( kašmiirmantel ) .
5719993,9175122,3,sõitma,,"vad, H",el,1kesklinn,1kesklinnast,Helsingis Kuusilahdenkuja 1kesklinnast sõidavad sinna bussid nr 194 ja 195 platvormilt 50.
11565177,18519763,13,kõndima,,"vad, H",in,poliitika,poliitikas,"Harilikult kõnnivad mobiilsed ameeriklased 1945 . aastast alates tublide sakslaste ees teenäitajatena olgu poliitikas või majanduses , aga ka vaimuelu moe in- ja out -signaalide vallas ."
5894676,9462131,14,saama,,"vad, H",adit,arvutimäng,arvutimängu,Noorema vanusegrupi ( 6.-9. klass ) kolm parimat saavad auhinnaks strateegia arvutimängu .
4271494,6872818,11,vastutama,,"vad, H",in,läbikukkumine,läbikukkumises,Javlinski hinnangul on need ametimehed vastutavad riigi sise- ja majanduspoliitika läbikukkumises .
1548370,2463747,18,tellima,,"vad, H",el,kaasa,kaasadest,"Näitusel on väljas Hannes Tamjärve ja Jüri Mõisa portreed , kuuldavasti tellivad noored ärimehed Okaselt akte oma kaasadest ."
17103051,26288079,4,põrkama,kokku,"vad, H",in,järjekord,järjekorras,Tavaliselt põrkavad esimeses järjekorras kokku tipud ning USA on kahtlemata läänemaailma tipp .
10345694,16600052,17,askeldama,,"vad, H",in,ehitusjärk,ehitusjärgus,"Kolmapäeval kell 10.30 märkas Tallinnas Kaasiku tänavas elav kaitseliitlane Erik ( 42 ) , et naabri ehitusjärgus elamu garaazhiukse juures askeldavad kaks kahtlast meest ."
1702516,2710164,10,pakutama,,"vad, H",in,tund,tunnis,Töötule või sada krooni päevas teenivale inimesele on ühes tunnis pakutavad 140 krooni korralik teenistus .
8663696,13900844,4,askeldama,,"vad, H",in,räbal,räbalates,Lõkke ümber askeldavad räbalates mehed .
13061757,20900291,9,askeldama,,"vad, H",in,õhtupimedus,õhtupimeduses,Kiievi kesklinna vaikses kvartalis ühe instituudi hoovil askeldavad õhtupimeduses erariides raadiosaatjatega turvamehed .
6112295,9810345,4,kõndima,,"vad, H",in,silm,silmis,"Kokrobite , suvitajate silmis Gaana ranniku üht kõige popimat randa pidi kõnnivad kaks apelsine müütavat poissi , nii umbes 6-7 aastased ."
552950,873570,7,andma,,"vad, H",ill,aasta,aastasse,"Vanalinnapäevade väsimisest annavad aimu kaubapakkujate aastast aastasse kordumine , üritustekava sarnanemine mullusele ja tunamullusele ning ürituste valgumine väljapoole vanalinna piire ."
6016630,9656262,10,pidama,,"vad, H",adit,intelligentsustest,intelligentsustesti,Sevilla linnas peavad topless tantsijad enne tööle asumist läbitegema intelligentsustesti .
8808551,14142389,13,liikuma,,"vad, S",adit,lend,lendu,"Vana väsind sepa valge päänutt akne all uinakut tegemas , juuksed liiguvad lendu nigu võililleudsu jälle . ”"
5471289,8771935,6,paiknema,,"vad, H",ad,kaalutlus,kaalutlustel,Valitsuse likmed paiknevad hajutatult julgeoleku kaalutlustel .
7417967,11909269,3,valguma,,"vad, H",all,sina,sulle,"Pisarad valguvad sulle silma , kui sa näed kuuvalguses seda ebamaist , lausa ingellikku ilu , su hing jääb kinni , sa tunned endast tsunamina üle tormamas õrnuse , kahetsuse ja rõõmu lainet , sa hingad sügavalt välja , tõstad silmad tänus taeva poole , võtad õrnalt-õrnalt sellest haprast kaunitarist kinni ja uinud taas ."
6394713,10278736,21,kirjutama,,"vad, H",ill,kuu,kuusse,"Eesti Naine , Stiil , Trend , Anne , Annabella , Tervis , Saladused ja mis kõik veel kirjutavad kuust kuusse just naisele mõeldes teemadel , nagu suhted , seks , pereelu , tervis , kodu , riided , kosmeetika , parfüümid , kokakunst , vaba aeg , portreelood tuntud naistest jm."
6543348,10526236,19,pidama,,"vad, S",adit,atsetoon,atsetooni,"Samas on pooljuhtanduritel üks oluline nüanss - need ei sobi kasutamiseks diabeetikutele , sest diabeetiku hingeõhus leiduda võivat atsetooni peavad need seadmed ekslikult alkoholiks ."
2324958,3722838,11,liikuma,,"vad, H",adit,alluvus,alluvusse,"Kohaliku omavalitsuse ja regionaalarengu osakonnad liiguvad halduse asekantsleri Mart Kirsipuu alluvusse , kes ei kuulu ühtegi erakonda ."
9665887,15511226,6,ulatuma,,"vad, H",abl,maht,mahult,"Ettepanekud valitsuse eelarveprojekti muutmiseks ulatuvad mahult üle kahe miljardi krooni ning Opmann proovis Riigikogu saalile selgeks teha , et nii suured muutused ja ümbertõstmised on täiesti ebareaalsed ."
1334306,2121545,17,kõndima,,"vad, S",in,hall,hallis,""" Ah seepärast ei võtagi inimesed omaks minu kauneid ja värviküllaseid rõivaid ning kõnnivad ringi tokerdanud hallis !"
338481,523115,9,paiknema,,"vad, H",ad,hinnang,hinnangul,Pakri poolsaarel ja saartel paiknevad suurimad reostusallikad elanikkonna hinnangul .
1378279,2191896,5,lubama,,"vad, H",adit,seks,seksi,"Ilma "" kummita "" seksi lubavad endale ainult omanikud , järelikult nad usaldavad tüdrukuid ."
423717,660613,9,ulatuma,,"vad, H",abl,ruutmeeter,ruutmeetrilt,"Täieliku siseviimistlusega korterite hinnad ulatuvad kuni 20 000 kroonini ruutmeetrilt , kõige odavama eluruumi ruutmeeter maksab 14 000 krooni ."
2225916,3560355,15,elama,kaasa,"vad, H",in,jutustus,jutustuses,"Isad elavad jalgpallile ühiselt kaasa ka Z. Érgle suurepärases , haaravas , põnevas jutustuses "" Meie õue lapsed "" ja selle järjes "" See oli alles suvi ! "" ."
3014327,4835315,1,startima,,"vad, H",abl,eestlane,Eestlastelt,"Eestlastelt stardivad veel Kaspar Kokk , Aivar Rehemaa ja Peeter Kümmel ."
15430526,24102789,3,säilima,,"vad, H",in,areng,arengus,"Inimese postnataalses arengus säilivad need arengutendentsid ja suhtelised kasvukiirused , mis on omased inimahvide loodetele ."
10732596,17197707,15,pidama,,"vad, S",ill,siseasi,siseasjadesse,Samas ei ole opositsioonilised konservatiivid inimõiguste kohtu otsusega rahul ja peavad seda sekkumiseks perekonna siseasjadesse .
4497679,7231712,12,juhatama,,"vad, H",in,riie,riietes,Kuuliaukudega lohakalt maalitud liiklusmärgi juurest juhatavad kloostri kätte sinnapoole liikuvad tumedates riietes mehed-naised .
18050037,27461947,4,vedama,,"vad, H",adit,maak,maaki,"Tavaliselt veavad Newmanist maaki 409 km kaugusele Port Hedlandisse nelja veduri ja 240 vaguniga rongid , seitse tükki päevas ."
13460715,21529028,1,hargnema,,"vad, H",in,hanerida,Hanereas,Hanereas hargnevad nad metsa .
3810801,6138384,7,kandma,,"vad, H",adit,maandusrihm,maandusrihma,Enamikus arvutitehastes kannavad töölised käe ümber maandusrihma .
2613043,4192720,5,askeldama,,"vad, H",in,tanu,tanudes,Kohviku puhvetis askeldavad kaks tanudes ja tülpinud naist .
9704497,15573516,6,ringlema,,"vad, H",in,tegevus,tegevuses,Ruumis ringlevad mingis kummalises rahutus-sihitus tegevuses ( õieti vist küll just tegevusetuses ) ning rääkimises noored mehed .
11698915,18723196,17,askeldama,,"vad, S",in,tordisaba,tordisabas,"Kogu üritus jättis mulje suurejoonelisest pulmapeost , kus vanem generatsioon istub laua ääres , noored askeldavad tordisabas ja süldibänd tõmbab kõige taustaks nurgas lugusid ."
