sentence_id,head_id,head_loc,verb,verb_compound,morph_case,lemma,form,sentence,timex_tag,ekilex_tag,ner_tag,classification,explanation,is_abstract,is_event,is_time,is_org,is_alive
21087297,29915194,3,lootma,,in,Marko,Markos,"moRt: Markos looda saa , kasutab minu arust majapidamisriistana ...",,,LOC,no,"The phrase 'Markos' refers to a person, not a location, so it is not adverbial of place.",no,no,no,no,yes
966364,1539316,9,vähendama,,all,sina,teile,"Mis saab fondist edasi , kui Soros vähendas teile antavat toetust 2/3 võrra ?",,,,no,"The phrase 'teile' refers to a recipient, not a place, so it is not adverbial of place.",no,no,no,no,yes
9696585,15560703,25,visandama,,el,aeg,ajast,"Pühajärve kaitsjate poolt korruptsioonis süüdistatud keskkonnaministeeriumi ametnik Tiina Tallinn nõustas ärimeeste majaehitust Pühajärve äärde Põlend-Kolgale kui riigiametnik , majade paiknemise visandas arhitektina oma vabast ajast .",,,,no,"The phrase 'ajast' refers to time rather than place, so it was classified as 'no' for adverbial of place.",no,no,yes,no,no
1257411,1999885,45,rentima,,all,iseenese,iseendale,"Siis peaks ilmnema , mis raha eest ehitab kahjumiga SLK paarikümnemiljonilist luksuslikku pansionaati Kuressaares , kas umbes sama suurusjärgus summat on vaja kümne laeva remontimiseks , kas 7,5 miljonit aastas on administratsioonikuludeks paras raha , kui suured on omaniku renditulud , kui ta rendib iseendale pinda , kui kallis on kallis kütus .",,,,no,"The phrase 'iseendale' indicates a recipient or beneficiary rather than a place, so it was classified as 'no' for adverbial of place.",no,no,no,no,yes
13266119,21224811,7,viima,,in,inimrööv,inimröövis,"Lugu , mis viis Winnie süüdimõistmiseni inimröövis .",,,,no,"The phrase 'inimröövis' specifies the type of crime rather than a physical location, so it is not adverbial of place.",no,yes,no,no,no
2076950,3314189,11,hoidma,,in,alatoitlus,alatoitluses,"See on olukord , mis hoiab suure hulga eesti lapsi alatoitluses , rääkimata täiskasvanutest .",,,,no,"The phrase 'alatoitluses' describes a condition or state rather than a physical location, so it is not adverbial of place.",no,no,no,no,no
14484305,22906114,1,kandideerima,,el,demokraat,Demokraadist,"Demokraadist Gore kandideeris presidendiks juba 2000. aastal , kuid sai George W. Bushilt napilt lüüa .",,,ORG,no,"The phrase 'Demokraadist' indicates affiliation or association rather than a location, so it is not adverbial of place.",no,no,no,no,yes
9061330,14569548,9,ennustama,,all,ajakiri,ajakirjale,Keskkooli direktor Tõnu Valdma ennustas seda juba mullu ajakirjale Luup antud intervjuus .,,,,no,"The phrase 'ajakirjale' indicates a recipient of the action rather than a physical location, so it is not adverbial of place.",no,no,no,no,no
12674224,20279032,5,kehtima,,ad,lõppemine,lõppemisel,Kooli lõpetamise või töösuhte lõppemisel kehtib täiskasvanute ravikindlustus kaks kuud pärast kooli või töötamise lõpetamist .,,,,no,"The phrase 'lõppemisel' refers to the time of the end of something rather than indicating a specific place, so it is not an adverbial of place.",no,yes,yes,no,no
6340453,10188183,14,kontrollima,,el,kapitalimaht,kapitalimahust,"Arreteeritud Platon Lebedev juhib Jukose finantskeskuseks olevat gruppi Menatep , mis kontrollib Jukose kapitalimahust 61 protsenti moodustavat eraomanike vara .",,,,no,"The phrase 'kapitalimahust' refers to a proportion of capital, which is not a reference to a location, hence it is not an adverbial of place.",no,no,no,no,no
14437832,22868258,22,müüma,,el,alustamine,alustamisest,"b ) meierei , kes seda võimalust kasutab , ei müü lõssipulbrit sekkumisasutusele nelja nädala jooksul alates käesolevas taandes osutatud tegevuse alustamisest ning teatab inspekteerimisasutusele enne tegevuse alustamist selle alguskuupäeva .",,,,no,"The phrase 'alustamisest' refers to the starting of an action, not a specific place, so it is not an adverbial of place.",no,no,no,no,no
3490887,5621274,15,vähenema,,all,650000,650 000-le,Tööga hõivatud inimeste arv on aga turumajanduslikele suhetele üleminekul vähenenud 200 000 võrra - 850 000-lt 650 000-le .,,,,no,"The phrase '650 000-le' represents a numerical value or quantity, not a location, therefore it is not an adverbial of place.",no,no,no,no,no
3407180,5483881,1,rippuma,,ad,üks,ühel,ühel neist ripuvad koguni õnnelike ja puhanud liikmete pildid seina peal .,,,,no,"The phrase 'ühel' refers to one of the objects but does not indicate a place, so it is not an adverbial of place.",no,no,no,no,no
3559489,5731807,29,seisma,,el,hetk,hetkest,"Täna võib veendumusega kinnitada , et just põhiseaduse vastuvõtmine võimaldas Ukrainal saavutada läbimurret peaaegu iga terava välispoliitilise probleemi lahendamisel , mis olid seisnud meie riigi ees sõltumatuse taastamise hetkest alates .",,time,,no,"The phrase 'hetkest' is temporal, referring to a specific moment in time, not a location.",no,no,no,no,no
6320001,10154618,23,kõikuma,,ad,periood,perioodil,"Kuum lisas , et kui enamik näitajaid on Eesti jaoks positiivsed , varjutab kogu tulemust kõrgevõitu tööpuuduse määr , mis kõigub prognoositaval perioodil vahemikus 8-8,9 protsenti .",,,,no,"The phrase 'perioodil' describes a time span, making it temporal rather than a location reference.",no,no,yes,no,no
11818134,18914145,16,müüma,,all,apteeker,apteekrile,"“ See pole võimalik , et oleksime kliendile puuduliku pileti andnud , ” kinnitab Pärnu apteekrile puhkusereisi müünud Wris Toursi juhatuse esinaine Margit Rebane-Pent .",,alive,,no,"The phrase 'apteekrile' indicates the recipient of an action, not a place.",no,no,no,no,yes
15057347,23584955,10,rahuldama,,in,pära,päras,"b ) vastuvõtjaliikmesriigi skeem rahuldab täiendava hüvitisega seotud nõuded päras seda , kui päritoluliikmesriigi pädevad asutused on talle teatanud emmast-kummast artikli 2 lõikes 2 nimetatud otsusest .",,,,no,The phrase 'päras' signals a temporal relationship rather than indicating a specific location.,no,no,no,no,no
16684885,25673260,4,ütlema,,all,Jürka,Jürkale,"Põrgupõhja Juula ütles Jürkale , et sul on ikka Ants ees ja taga , aga kõik sünnib su oma tööst ja vaevast .",,,PER,no,"The phrase 'Jürkale' refers to a person being addressed, not a physical place.",no,no,no,no,yes
15539855,24269202,13,olema,kinni,in,arvudes-analüüs,arvudes-analüüsides,"Näen asju teise pilguga , ei teki konnatiigiefekti , et oled oma arvudes-analüüsides kinni ja upud sinna . ”",,,,no,The phrase 'arvudes-analüüsides' was classified as 'no' because it does not indicate a place but rather refers to a state or context involving numbers and analyses.,yes,no,no,no,no
10845449,17368974,5,välistama,,all,vastutus,vastutusele,"Süüdimatus ei välista aga vastutusele võttu ning eksperdihinnangute järgi otsustades tuleb teda ravida , kinnitas süüdistaja .",,,,no,"The phrase 'vastutusele' was classified as 'no' because it refers to the concept of responsibility, not a physical or specific location.",no,yes,no,no,no
16773901,25813559,13,võlgnema,,all,ilmajäämine,ilmajäämisele,"kusjuures juba teist aastat võlgnen ma igasuguse tänu oma rattast/rattaosadest ilmajäämisele oma kallile boyfriendile , kes lihtsalt tõmbab kohe rattavargaid külge .",,,,no,The phrase 'ilmajäämisele' was classified as 'no' because it pertains to the concept of loss and not to a place.,no,no,no,no,no
11396051,18262044,16,alluma,,all,fraktsioon,fraktsioonile,"Demokraatlikus parlamentarismis jääb iga poliitiline minister alati kahe tule vahele , sest ta allub nii fraktsioonile parlamendis kui ka peaministrile valitsuses .",,,,no,"The phrase 'fraktsioonile' refers to whom the minister is subordinated, not a location, hence not adverbial of place.",yes,no,no,yes,no
5552018,8902023,4,alustama,,all,Eesti,Eestile,Läti on sarnaselt Eestile alustanud ettevalmistusi populatsioonigeneetika projektideks vajaliku keskkonna loomiseks .,,location,LOC,no,"The phrase 'Eestile' indicates similarity or comparison, not a location, hence not adverbial of place.",yes,no,no,no,yes
8755542,14055245,14,eraldama,,el,päev,päevast,"Elutöö ära teinud näitlejale palju ei jagu , aga julmas teatrisüsteemis , mis päevast päeva andekamaid vähemandekatest eraldab , on 89-aastase näitleja lavalpüsimine isegi suur ime .",,,,no,"The phrase 'päevast' refers to time, not location, hence not adverbial of place.",no,no,yes,no,no
4388242,7058296,24,rahuldama,,in,veebrur,veebruris,"Hulkuvate loomade probleemi lahendamiseks ei välista selts koostööd kassiklubi ega ka kommunaalameti eelmise "" loomapüüdja "" , aktsiaselts Kynthiaga , kelle pakkumine linnavalitsust veebruris enam ei rahuldanud .",,,,no,"The phrase 'veebruris' refers to time, not location, hence not adverbial of place.",no,no,yes,no,no
8783357,14097513,19,võtma,,all,jooksva,jooksvale,Eile 80 aastat tagasi kandis Eesti Pank 10 miljoni margase põhikapitali panga pearaamatusse ning pank võttis esimese summa jooksvale arvele .,,state,,no,"The phrase 'jooksvale' describes the state or target of the action rather than specifying a location, so it is not classified as an adverbial of place.",no,no,no,no,no
2524338,4048430,6,nihkuma,,all,kellaaeg,kellaaegadele,Reklaami survel nihkusid need varasematele kellaaegadele ning muutusid juhuslikemaks .,,,,no,"The phrase 'kellaaegadele' refers to time rather than a physical or spatial location, so it is not classified as an adverbial of place.",no,no,yes,no,no
266242,420598,14,levima,,ad,vahetus,vahetusel,Aga meenutame veel kord : mitmesugused pejoratiivsed nimed olid 15-nda ja 16-nda sajandi vahetusel Tallinna eestlaste seas üllatavalt levinud .,,,,no,"The phrase 'vahetusel' refers to a temporal transition point rather than a physical location, so it is not classified as an adverbial of place.",no,no,yes,no,no
1959973,3125144,5,kõikuma,,ad,noatera,noateral,Võlgades rehabilitatsioonikeskuse saatus kõigub noateral,,,,no,"The phrase 'noateral' metaphorically describes a precarious situation, not a physical place, so it is not classified as an adverbial of place.",yes,no,no,no,no
11812642,18905396,10,panema,,abl,pakitu,pakitult,« Tegelikult panevad inimesed oma vanad katkised sukkpüksid ilusasti pakitult meie kasti .,,,,no,"The phrase 'pakitult' describes the condition or manner in which something is packed, not a physical location, so it is not classified as an adverbial of place.",no,no,no,no,no
5155776,8271170,24,kuulutama,välja,in,esinemine,esinemises,Kroonprints Willem-Alexanderi ( 33 ) ja blondi argentiinlanna Maxima Zorreguieta ( 30 ) kihluse kuulutas märtsi eelviimasel päeval televisioonis ja raadios üle kantud esinemises välja Hollandi kuninganna Beatrix .,,,,no,"The phrase 'esinemises' is not an adverbial of place because it refers to 'in the performance', which is a context or setting, not a physical location.",no,yes,no,no,no
7148887,11498995,9,jääma,,abl,hoiak,hoiakult,"Ruth vangutas vaid tummalt pead , aga jäi hoiakult endiseks .",,,,no,"The phrase 'hoiakult' is not an adverbial of place because it refers to 'in terms of attitude', which describes a manner or quality rather than a physical location.",no,no,no,no,no
1975641,3150491,7,kasvama,,ad,eestvedamine,eestvedamisel,"Hüppeliselt kasvasid kaitsekulutused peaminister Tiit Vähi eestvedamisel 1997. aasta eelarves , kuid pidurdusid 1,2 protsendi tasemel sisemajanduse koguproduktist tänavu .",,,,no,"The phrase 'eestvedamisel' is not an adverbial of place because it refers to 'under the leadership', which indicates guidance or influence, not a physical location.",no,no,no,no,no
621244,985525,17,põlema,,ad,aeg,ajal,"Pärast kuumalainet tabasid Saksamaad , Belgiat , Hollandit ja Shveitsi eile tormid ja vihmasajud , samal ajal kui Prantsusmaal põlevad metsad , USA idarannikul lüüakse kuumarekordeid , Kesk-Ameerika ujutab üle ning Hiinas on üleujutustes surnud juba 240 inimest .",,,,no,The phrase 'ajal' was classified as 'no' because it does not indicate location but rather a time context.,no,no,yes,no,no
5523489,8855905,11,kasvama,,ad,külaskäik,külaskäikudel,"Väike Haapsalu linnake armastas omakorda tsaare , sest tänu nende külaskäikudel kasvas kuurordi populaarsus kogu Peterburi aadelkonna seas .",,event,,no,The phrase 'külaskäikudel' was classified as 'no' because it refers to an event or occurrence and not to a specific location.,no,yes,no,no,no
9788208,15704947,10,haarama,,el,probleem,probleemidest,"Arenenud maade koolipsühholoogid kinnitavad , et ligi poole käsitletavatest probleemidest haaravad enda alla emotsionaalsed ja käitumisprobleemid .",,,,no,"The phrase 'probleemidest' refers to the problems being discussed, which indicates a topic or subject rather than a location, so it is not adverbial of place.",no,no,no,no,no
18849565,28466497,21,kajastuma,,in,eelmine,eelmistes,"Me hääletasime ainult ühe korra , mis aga praegustes muudatusettepanekutes ei kajastu , sest see kajastus minu mälestust mööda juba eelmistes .",,,,no,"The phrase 'eelmistes' refers to previous proposals or contexts and does not describe a location, hence it is not adverbial of place.",yes,no,yes,no,no
4253483,6843583,15,kuuluma,,el,jalgpallur,jalgpalluritest,""" ManU liikmepilet nr. 68 320 kirjutati seitse aastat tagasi välja Jonatan Johanssoni nimele ning jalgpalluritest kuuluvad soomlase iidolite hulka Eric Cantona ja Ryan Giggs .",,alive,,no,"The phrase 'jalgpalluritest' refers to footballers and indicates a group or type rather than a location, so it is not adverbial of place.",no,no,no,no,yes
7199642,11579972,6,hõlmama,,el,raport,raportist,"Olulise osa “ Kini ” raportist hõlmab kirjeldus kohtumisest isikuga , kelle kohta kasutatakse varjunime “ Tjozka ” ( tõlkes nimekaim ) .",,,,no,"The phrase 'raportist' refers to the report and functions as a source or origin of content, not a location, so it is not adverbial of place.",yes,no,no,no,no
8709108,13972974,12,juhatama,,el,lastmi,lastmist,"Hommikul läks Mastfeld sadamasse , kus õiendas kaptenitega , juhatas kaupade lastmist ja võttis raha vastu .",,,,no,"The word 'lastmist' refers to loading cargo and does not indicate a location, so it is not an adverbial of place.",no,yes,no,no,no
6627585,10664802,10,takistama,,ad,avaldamine,avaldamisel,""" Viimase ajani ei takistanud mind keegi oma seisukohtade avaldamisel .",,,,no,"'Avaldamisel' refers to expressing opinions rather than a location, so it is not an adverbial of place.",no,yes,no,no,no
370881,574900,10,viima,välja,el,savijalgsus,savijalgsusest,"Martta rollitõlgendus olevat otsene farss , mis “ ideelisest savijalgsusest viib juba välja eetilise maalibisemiseni ” .",,,,no,"'Savijalgsusest' refers to an abstract concept rather than a physical location, so it is not an adverbial of place.",no,no,no,no,no
13480334,21560416,10,kõlama,,in,diskussioon,diskussioonides,"Kuid käes on aeg hinnata ka seaduse vastuvõtu eelsetes diskussioonides kõlanud väite paikapidavust , kas usinalt asub sünnitama ka ühiskonna madalam kiht , kes emapalga maksmise lõppedes lapsest loobub .",,,,no,"'Diskussioonides' refers to discussions, which are non-spatial events, so it is not an adverbial of place.",yes,no,no,no,no
12998029,20796663,1,levima,,ad,allakäiguhetk,Allakäiguhetkedel,"Allakäiguhetkedel levisid tenniseringkondades ka sellised kuuldused , et Kaia pole harjunud kodunt kaua eemal olema ning ei pea vaimselt turniirikarussellile vastu .",,,,no,"'Allakäiguhetkedel' refers to moments in time, not a location, so it is not an adverbial of place.",no,no,yes,no,no
