lemma,sentence_id,head_id,example_num,total_count,feats,case,number,proper,deprel,form,loc,loc_rel,parent_loc,pos,id_x,text
leivatootmine,3199502,5139100,1,5,"com,in,sg",in,sg,0,obl,leivatootmises,5,1,,S,9630637,Palju elektrit kulub näiteks leivatootmises .
leivatootmine,9813905,15746082,2,5,"com,ill,sg",ill,sg,0,obl,leivatootmisesse,12,1,,S,29088938,"Loki viga on Rannamäe arvates see , et ta tegi investeeringu leivatootmisesse enne , kui oli saanud kõik vajalikud load ."
leivatootmine,776396,1238314,3,5,"com,in,sg",in,sg,0,obl,leivatootmises,10,-1,,S,2251158,"Kõiki inimesi kütuse kallinemine ei puuduta , sest nii leivatootmises kui ka bussiliikluses käib firmade vahel nõnda tihe rebimine , et hindu ei saa tõsta ."
leivatootmine,9813920,15746109,4,5,"com,el,sg",el,sg,0,obl,leivatootmisest,4,1,,S,29089009,Samas teavad Loki leivatootmisest ka riigiametnikud .
leivatootmine,13378565,21400981,5,5,"com,in,sg",in,sg,0,obl,leivatootmises,4,-1,,S,39593826,Päris revolutsioonilise murrangu leivatootmises tõi iseseisvumine .
püsitöö,9476077,15212842,1,5,"all,com,sg",all,sg,0,obl,püsitööle,6,-1,,S,28142817,"Millal ja kus ta edaspidi püsitööle hakkab , ei osanud Mugur veel öelda ."
püsitöö,6525015,10495945,2,5,"all,com,sg",all,sg,0,obl,püsitööle,10,2,,S,19615834,"Kivimurd on üks nende hulgast , kes sõidavad Iirimaale püsitööle ."
püsitöö,6464519,10394801,3,5,"all,com,sg",all,sg,0,obl,püsitööle,20,3,,S,19429354,"Mais alanud ja jaanipäeval lõppenud konkurss hõlmas kõiki kümmet tulevast uut liikmesriiki , kust Euroopa Komisjon värbab üleminekuperioodi vältel püsitööle kokku 3441 uut töötajat , sealhulgas Eestist 117 inimest , neist 110 madalama astme ametnikku ."
püsitöö,3438564,5535701,4,5,"all,com,sg",all,sg,0,obl,püsitööle,23,3,,S,10357588,""" Sotsiaalmajas on nagu päris töökoht , "" sõnas Vello , kuid lisab kibestunult , et temasugust pensionieelikut ei võta enam keegi püsitööle ."
püsitöö,10834765,17352990,5,5,"ad,com,sg",ad,sg,0,obl,püsitööl,5,2,,S,32012211,"Perekondades käivad vaid naised püsitööl , Pärnu vallikraavis sõidavad stressirohkest kapitalikogumisest ülekaalulised eesti mehed oma miljonikroonise merekaatriga edasi-tagasi , nii et kraav seejärel suisa kuiv on ."
raatus,8998673,14468006,1,5,"com,ill,sg",ill,sg,0,obl,Raatusesse,40,2,,S,26794730,"Raatuse galerii väljakuulutatud “ traditsionalism ” võib osutuda lõksuks nii potenstiaalsele publikule kui ka arvustajale - tegelikult on Mai Levin näituse koostajana eksponeerinud elurõõmsa koosluse autoritelt , kes ise soovisid esineda just sellise ühisnimetaja all ja tõid maalid otse Raatusesse ."
raatus,6584380,10594422,2,5,"com,in,sg",in,sg,0,obl,Raatuses,6,-1,,S,19797383,Meenutame heldimusega viis aastat tagasi Raatuses toimunud kõige esimest Aledoia näitust .
raatus,20030807,29414520,3,5,"com,ill,sg",ill,sg,0,obl,raatusesse,8,2,,S,53050578,plika_tartust: kuule yhte gymnaasiumisse ikke :P raatusesse :P
raatus,20952906,29842609,4,5,"ad,com,sg",ad,sg,0,obl,Raatusel,9,1,,S,53685158,Lord_Rim: Esta teie juures jah ... käisin Raatusel
raatus,10320197,16560417,5,5,"com,el,sg",el,sg,0,obl,Raatusest,13,1,,S,30584634,"Tagasi Postimehe toimetusse sõitis juht kõigepealt Jaama tänavast Puiestee tänavasse , keeras Raatusest alla ja siis üle Võidu silla , mööda Vabaduse puiesteed , Mungast vasakule ja olimegi kohal ."
suusapäev,16428669,25378582,1,5,"ad,com,sg",ad,sg,0,obl,suusapäeval,17,1,,S,46611492,"ma tahan , et ma ei hooliks sellistest asjadest , nagu et , kas ma saan suusapäeval korralikult hakkama või mitte ."
suusapäev,11733686,18777849,2,5,"ad,com,pl",ad,pl,0,obl,suusapäevadel,6,3,,S,34655811,Varasematel aastatel käisime tihti Kagu-Eestis suusapäevadel .
suusapäev,5214986,8366118,3,5,"ad,com,pl",ad,pl,0,obl,suusapäevadel,6,3,,S,15635980,Varasematel aastatel käisime tihti Kagu-Eestis suusapäevadel .
suusapäev,1079498,1716040,4,5,"com,el,sg",el,sg,0,obl,suusapäevast,6,1,,S,3163397,Presidendi pressiesindaja Epp Alatalu kirjutab suusapäevast koolis .
suusapäev,12806989,20487319,5,5,"ad,com,sg",ad,sg,0,obl,suusapäeval,11,1,,S,37870224,"Tallinna reaalkoolist lasti lahti kehalise kasvatuse õpetaja , kes tarvitas suusapäeval koos 9. klassi õpilastega alkoholi ."
lastehommik,6989256,11228415,1,6,"all,com,sg",all,sg,0,obl,lastehommikule,6,-1,,S,20942807,"Kes teisel päeval Valga kultuurikeskusse lastehommikule tuli , sai päkapikk Maimult küünla , sellele tule ja jõulusoovi ."
lastehommik,9981678,16011184,2,6,"all,com,sg",all,sg,0,obl,lastehommikule,6,2,,S,29569538,Järgmisel hommikul loen müürilehte muusikalisele lastehommikule “ Googol-Moogol ” .
