lemma|sentence_id|head_id|example_num|total_count|feats|case|number|proper|deprel|form|loc|loc_rel|parent_loc|pos|id_x|text|gpt_annotation
3Dmark01SE|15975312|24842811|1|1|com,el,sg|el|sg|0|obl|3Dmark01SE 'st|4|2||S|45714765|Jutt käib ikka 3Dmark01SE 'st ?|NONE
7000rpm|17290719|26537880|1|1|com,el,sg|el|sg|0|obl|7000rpm'ist|4|1||S|48566486|Jutt vist käis 7000rpm'ist ?|NONE
Aleksanderplats|5433512|8711855|1|1|ad,prop,sg|ad|sg|1|obl|Aleksanderplatsil|37|1||S|16290928|Enne 11. septembrit kõnelesidki sotsiaaldemokraadid selle variandi võimalikkusest , aga pärast seda päeva hakkasid endised kommunistid - kellel niigi Ameerika ja NATO vastane maine - ainukesena suurt rahuparteid mängima ning käisid siniste lipukeste ja valgete rahutuvidega Aleksanderplatsil marssimas .|LOC
BBV|9138193|14690990|1|1|el,nominal,sg|el|sg|0|obl|BBVst|4|2||Y|27205233|1994 lahkus ta BBVst , et asuda tegevjuhina tööle Banco Central Hispanos , mis teatas oma kasumite kukkumisest .|NONE
C-sektor|12901660|20637700|1|1|com,in,sg|in|sg|0|obl|C-sektoris|9|1||S|38155843|Kui teangi võistluse ajal , et poeg istub C-sektoris , siis vaevalt see kuulitõuketehnikat parandab , tõi Nool näite .|LOC
Gilde|4231373|6809862|1|1|el,prop,sg|el|sg|1|obl|Gildest|6|-2||S|12713285|Tänaseni pole Eestis lisandunud palju Gildest kiiremini jooksnud sprintereid .|NONE
Hiirelõks|14948506|23460931|1|1|el,prop,sg|el|sg|1|obl|Hiirelõksust|4|2||S|43329307|1958 sai « Hiirelõksust » Suurbritannia pikima lavaeluga etendus .|NONE
Laenutuspunkt|17103644|26288936|1|1|in,prop,sg|in|sg|1|obl|Laenutuspunktis|1|-2||S|48142429|Laenutuspunktis endas liigub lausa katkematu kliendivool - on ehitushooaeg .|LOC
Nagano-võistkond|1857755|2958881|1|1|all,com,sg|all|sg|0|obl|Nagano-võistkonnale|13|3||S|5529802|Kuigi eilset jõuproovi olümpiakoondise katsevõistlusena ei arvestatud , astus Kurg pika sammu Nagano-võistkonnale lähemale .|NONE
Novatourss|2736385|4389021|1|1|in,prop,sg|in|sg|1|obl|Novatoursis|2|-1||S|8224998|Et Novatoursis käib praegu uue hooaja reiside kampaaniamüük , uputasid vihased ja nõutud kliendid niigi tööga koormatud klienditeenindajad kõnedega täiesti üle või vastupidi - liinid olid kinni ning ühenduse saamine osutus võimatuks .|NONE
Nõugaste|18863572|28487555|1|1|ad,prop,sg|ad|sg|1|obl|Nõugastel|4|2||S|51640464|Nii käibki praegu Nõugastel hoopis remont ja ettevalmistus uueks hooajaks .|LOC
Smuuli|18064816|27484635|1|1|ad,prop,sg|ad|sg|1|obl|Smuulil|8|3||S|50092806|Teatriajaloo aspirandina käisin 1967. aasta suvel Koguvas Smuulil külas , et küsitleda teda ta näidendite sünnilugude ja tegelaste prototüüpide kohta .|NONE
Surfer|7856701|12587731|1|1|in,prop,sg|in|sg|1|obl|Surfer's|5|2||S|23380520|Käisin igal pool , Surfer's Paradise'ist Sydney ooperiteatrini .|NONE
